Label,log.sigma.1.mm.3D_glcm_MCC,log.sigma.3.mm.3D_glszm_SizeZoneNonUniformityNormalized,wavelet.HHL_gldm_SmallDependenceHighGrayLevelEmphasis,wavelet.LLH_glcm_MCC,wavelet.HHH_glszm_GrayLevelVariance,log.sigma.2.mm.3D_glszm_SmallAreaLowGrayLevelEmphasis,wavelet.LLH_glszm_SmallAreaEmphasis,wavelet.HHL_glszm_GrayLevelNonUniformityNormalized,wavelet.HHH_glszm_SmallAreaEmphasis,original_shape_Flatness
0,1.65439616,0.607557379,-0.408855128,0.183207717,-0.70618996,-0.437216709,-0.856863933,1.028086965,1.283178738,0.924078488
0,-0.985319762,1.065342383,-0.417669943,-0.549614217,0.748695225,-0.029297216,-0.515218967,0.122121811,0.108351769,-1.357001727
0,-0.963831204,-0.385036928,0.552558592,-1.161076543,1.275867017,3.094695113,1.026266486,-1.651115708,0.618342523,-1.121628195
0,-0.868160141,-0.187007962,0.379590399,-0.378085094,0.652121449,0.173890741,0.248073314,-0.138074158,0.545400241,-0.262564283
0,-0.403467501,-0.659264147,-0.206491168,-0.666180117,-0.597264341,-0.470859748,2.958674912,0.564687087,-1.579448454,0.11764099
0,-0.894782801,-0.457647159,-0.274832524,-0.633172665,1.637599947,0.478779551,0.662964144,-0.701169009,0.862237552,-0.729987673
1,-0.026132714,-1.102319892,0.601126692,-0.872559081,0.678111249,0.280610094,-0.456468818,-0.280321396,0.629201815,1.552898742
0,-0.679406781,1.713260849,1.852742016,-1.344394659,1.640380526,-0.226147634,0.867149284,-1.258066322,0.170799717,-0.546797524
0,-0.245065792,-0.725961639,-0.139978646,0.437916392,0.604521651,0.707483586,0.699001996,-0.223313342,-0.871567153,-0.513926105
0,-0.860240849,-0.477465846,0.252942091,-0.718979921,-0.8101763,-0.322931313,-0.034315997,-0.739086206,0.331425775,-2.050272886
1,-0.402897171,-0.462820842,-0.428310287,0.198056795,2.234245081,0.762057058,0.169605442,-0.245782023,0.011524504,0.415985332
0,-0.793322817,-0.628392738,-1.038073614,-0.043818608,0.842155516,-0.348952906,0.503723017,0.101003279,0.404597168,1.348401024
1,1.506501555,1.286192661,-1.808585983,0.51019599,0.18398697,-0.357673807,-0.488688384,2.160538743,1.609398184,0.741465549
1,1.480717024,0.834540569,-1.274814545,0.472837761,-1.082313791,-0.171183365,0.531612012,0.980796745,-1.598810616,1.73934073
1,2.291934645,2.782581015,-0.352443258,3.018335537,-0.948125097,-0.665120818,0.698988454,0.612644151,0.368037846,-1.737661277
0,-0.11311252,-0.644722794,0.195556204,0.124464639,-0.175939132,-0.599774283,-1.386604556,0.274394736,-0.25186346,-0.898219107
0,-0.206790694,0.851704998,-0.575702141,0.20865285,-0.53164691,0.952445928,-0.695339095,0.767853207,-1.206721261,-0.010543298
0,0.801109831,-0.873363447,0.003396185,-0.569506617,0.312304657,-0.465800222,0.9386572,-0.299124586,-1.079364042,1.077534931
0,0.275451416,-0.777314792,0.2704739,-0.092120876,0.227725088,-0.600471626,0.434954619,-0.796216937,-0.203618833,-0.020299671
1,1.985872576,0.483246252,0.473479132,-1.465849583,0.946893755,-0.561972571,0.673586483,-0.830136252,0.504548371,0.244913204
1,1.920502711,2.169698082,-0.640205657,3.595969902,-0.435228393,-0.465292889,-1.055747621,1.683832466,-0.273964011,0.987923783
0,-0.45274086,0.249727359,0.931498538,0.312854227,-0.606301659,0.394677814,-3.380707695,-1.180008155,-0.724190884,-0.469359629
