Label,log.sigma.2.mm.3D_glcm_ClusterShade,log.sigma.1.mm.3D_glcm_Imc1,log.sigma.1.mm.3D_glcm_MCC,wavelet.LLH_glszm_GrayLevelVariance,log.sigma.3.mm.3D_firstorder_Skewness,wavelet.HLL_glszm_ZonePercentage,wavelet.HLL_firstorder_Skewness,wavelet.LHL_glcm_Correlation,wavelet.LLH_glrlm_GrayLevelNonUniformityNormalized,log.sigma.2.mm.3D_glcm_Imc1
0,-0.145495641,-1.398699973,1.61527449,1.129732414,-0.719235178,-0.732389682,-0.146357616,0.18772136,-2.058966037,0.34288892
0,0.173505075,0.876322707,-0.943787645,-0.361092779,0.515948077,-0.067376778,0.383878697,0.022909647,0.389591099,0.611831806
0,0.295400214,1.134644547,-1.011726681,-0.524554391,0.952103883,0.053842315,-0.57390372,-0.006375285,1.117443768,-0.421723259
0,0.293785951,0.997831748,-0.912686724,0.232451585,-0.363966027,0.708502013,-0.077910612,0.119670289,-0.093308528,-0.070607021
0,0.161018769,0.556798534,-0.379713278,-0.396603995,-1.120413695,-0.392185084,-1.514378186,-0.61478044,1.059678546,-0.319390142
0,0.171918944,0.914083651,-0.856016948,-0.21787605,-0.589375317,-0.798026667,0.330233149,-0.584021327,0.349300273,-1.099048498
1,0.248420432,0.257166794,-0.041008721,-0.019305919,-0.618668301,0.021551544,0.810106821,-0.083371204,0.17750618,-1.461349165
0,0.173576123,0.997071202,-0.647221519,0.09960327,0.457549721,0.847933839,1.228676834,-0.312832683,0.300929548,0.995450714
0,0.173824204,-0.186243746,-0.226151369,-0.277445833,0.188490998,-0.37101343,-0.369840477,-0.263444461,0.80251822,0.349307606
0,0.171571376,0.89094549,-0.82253039,-0.106464996,0.074501712,1.268625704,-0.617930519,-0.342222016,-0.42628983,0.886372938
1,0.280848824,0.481533544,-0.431040303,0.573488912,-1.696758334,-1.003497118,-0.88159454,-0.050215772,0.454992361,-0.870875561
0,0.17080574,0.806165443,-0.757656968,-0.278528283,-0.208458495,-0.358740308,-0.722670791,-0.008639222,0.701346859,-0.627352694
1,-0.585958222,-1.167580829,1.471898652,1.452167643,-0.710399331,-0.038413735,0.404964321,1.339595472,-1.682115803,0.2984863
1,-0.220310083,-1.201026995,1.446901941,1.48024124,-0.359124214,-0.466377165,-0.124533813,0.711190481,-2.058265908,0.115305093
1,-9.630986745,-1.431230434,2.233333648,3.518538007,-1.979591451,-0.148245479,-2.225224318,2.988355838,-2.576408646,0.522416401
0,0.275572595,0.163151936,-0.131051374,-0.049494798,-0.15425511,0.096576904,0.283346936,-0.82302317,0.369136558,1.124083328
0,0.29532455,-0.515066266,-0.228028267,-0.764513652,0.139249058,0.09408182,-1.284208719,-1.536335132,0.088703923,1.753240519
0,0.162879364,-0.661907966,0.815363774,0.15052724,-0.878246108,0.007922084,0.396484706,0.210216379,-0.315647177,-0.441623396
0,0.250883132,-0.072550877,0.271195185,-0.293174717,-0.486168653,-1.167246357,-0.630435785,-0.461284718,0.741314243,-0.784578604
1,-0.114474434,-2.222706762,1.936622988,0.406508271,-1.113415381,-1.373162581,-1.387156261,0.119665044,-0.090728463,-1.256964788
1,-1.562722419,-1.782627976,1.873250431,1.25516155,-0.335654512,-0.587355114,-1.564973165,3.315908133,-2.529440476,-0.523690439
0,0.174237387,0.21693128,-0.42748114,-1.159389083,1.163165292,0.718683215,0.288696735,0.767573521,1.293147346,1.644847911
0,0.293913318,0.715359521,-0.748632947,-0.937597664,-0.114899049,1.439879627,1.051476436,0.028455844,0.150167619,1.427031911
0,0.296044422,0.639006982,-0.347807158,-0.148127744,-0.291864378,0.137545873,0.340773349,-0.49843606,0.320658228,-0.824161639
1,0.233271141,0.308051946,0.108866178,0.452468422,-1.430748834,-0.685669602,-0.073955424,-0.416364442,-0.10098562,-2.627083503
0,0.16785553,0.880579036,-0.610083855,0.316131517,-0.411201795,-0.042370498,1.51165441,0.240092979,-0.347807004,-0.291622507
1,-4.190923751,-1.537953772,1.884350852,2.230108712,-0.118800791,0.738644466,-0.081082624,4.30286003,-3.00015687,-1.012690645
1,-3.584532461,-1.764464616,2.164076625,1.430323637,-1.457141272,-0.114201357,-2.045561178,0.57118442,-2.53573547,-0.110156841
0,0.163962917,0.793840678,-0.739403058,-0.068864943,-1.470605869,-0.543099447,-0.23836006,-0.497505486,0.426798774,-1.623956424
0,0.292758104,0.742347212,-0.643584057,0.460423134,0.521653599,0.667711222,1.402798654,-0.46590784,-0.219357271,0.899874748
1,-0.086721434,-1.240744578,1.354039352,1.092094353,0.037412833,-0.823733625,-0.220713706,0.957720716,-2.212710374,-0.089842888
0,0.286624101,1.240424448,-1.159587024,-0.359397672,-0.23543028,0.750264001,-0.600316616,-0.394130953,0.760712855,-0.239001945
0,0.289743515,1.223577702,-1.202770393,-0.464349918,-0.248918126,0.591629629,-0.699725448,-0.104109592,0.568685066,0.001136018
1,0.292798115,-1.062452297,-0.076789885,0.328816255,-0.602296982,-0.610596349,-1.048402009,-1.329654207,0.411171487,0.260860087
0,0.280418008,-0.044830457,-0.288621016,-0.141283421,-4.676514883,-1.250769562,-1.699517177,-0.963151268,0.413983802,-1.215591075
1,0.286096639,1.117741727,-0.991946579,-0.019789657,0.026367534,0.440046269,0.938015831,-0.216125372,0.985558627,0.730129302
0,0.169345999,0.861281409,-0.97067417,-0.33546178,-1.728531018,0.205532997,1.727224141,-0.475940267,0.269695855,-0.285121694
0,0.297922096,0.7692375,-0.729311009,0.499080826,1.347899567,-0.237396804,-0.21488579,0.010094812,-0.566699534,0.821485002
1,0.163539994,0.785681447,-0.515581489,0.22435774,-0.695762726,-0.173016975,0.621799773,-0.209253826,0.234952871,-1.545268909
1,-3.462909583,-2.58432735,1.355357406,6.161816125,0.143614143,2.451125797,-0.064187173,4.521893413,-4.042155747,-3.188750105
0,0.172293828,0.976521742,-1.012406605,0.042344602,0.45951794,0.394208225,0.298303215,-0.387539463,-0.076217818,-0.541702698
0,0.292309669,-2.063112079,0.527301286,-0.946639472,0.158599297,-0.265516093,-0.935269118,-0.366440992,1.038013485,0.533612778
0,0.173780747,0.77525343,-1.003471674,-1.208598423,1.311072057,1.384956703,0.512205364,-0.036629487,1.086451857,1.436875016
0,0.138890271,-0.662352577,0.821903258,0.230705501,-0.624574992,-0.322448156,-0.079249661,-0.789024537,-0.307516295,-0.124257263
0,0.173906607,0.50098384,-0.863486786,-0.911045395,1.941354343,0.260828958,-1.196372581,-0.647517024,0.401254748,0.610889069
0,0.27822623,1.00237655,-0.826313123,-0.35747489,-0.478980696,-0.20257364,-0.02442172,-0.779858512,1.224666579,-0.533456061
1,0.016723309,-1.006292074,1.189277712,1.583091163,-0.360447661,-0.365457849,-0.459225152,0.464193679,-1.611403899,0.358480021
1,0.248365027,0.697552262,-0.451298889,-0.813500227,-1.405311447,-0.480876665,0.022787746,0.700790246,0.25064105,-0.477147492
0,0.303758323,-0.169802864,-0.192162749,-1.047856212,3.261123365,2.074600951,-1.08894394,-1.29278723,0.727742531,1.128171057
0,0.172693376,0.57212391,-0.582203048,-0.617621207,0.725461577,0.189598375,-1.394800125,0.267759487,0.51942342,0.705921427
