Label,log.sigma.1.mm.3D_glcm_MCC,wavelet.LHH_glrlm_RunEntropy,log.sigma.1.mm.3D_glcm_Imc1,wavelet.HLH_glcm_Correlation,wavelet.LLH_glszm_GrayLevelVariance,wavelet.HLL_firstorder_90Percentile,log.sigma.2.mm.3D_glcm_Imc1,wavelet.LLH_glcm_Correlation,wavelet.HLL_glszm_ZonePercentage,wavelet.LLH_firstorder_Kurtosis
0,1.613271481,-0.239696548,-1.403719845,1.095553864,1.14727666,-1.073060137,0.346042881,0.624019644,-0.754675578,-0.835034945
0,-0.979384063,0.5941628,0.905009414,0.037611036,-0.359469645,0.370372062,0.618359188,-0.392943962,-0.069016619,-0.157595984
0,-0.971157467,0.133508113,1.10321157,0.103904574,-0.51970197,-0.125872816,-0.412615779,-0.006900515,0.054025266,-0.765381622
0,-0.873748579,0.874612931,0.968328035,-0.02896382,0.218904517,0.707464675,-0.068294636,-0.327882902,0.707708309,-1.158937253
0,-0.407904958,-0.182107722,0.580751193,-1.37433351,-0.3953601,-0.475091063,-0.324543321,-0.754422508,-0.403908955,-0.129614074
0,-0.890461178,1.62940288,0.943329822,0.068288973,-0.214723448,-0.04729214,-1.113981136,-0.207881804,-0.822350336,0.150752784
1,-0.016426071,1.164077018,0.238107557,-0.437372195,-0.026733869,0.079872204,-1.432121976,-0.151155219,0.021782667,-0.452441481
0,-0.678924843,1.117610508,1.02754691,0.986095623,0.106146359,2.034266678,1.006789928,0.180495832,0.87471082,0.12683267
0,-0.252327206,-0.009179741,-0.173299951,-0.355198341,-0.2749294,-0.542331366,0.352542078,-0.173518448,-0.382080005,-1.477544609
0,-0.856535034,0.341205413,0.919848847,-0.615950862,-0.102122591,0.242418095,0.896343961,-0.544501964,1.308463524,-0.502093944
1,-0.400034299,0.641792163,0.459310403,0.185883833,0.551652724,0.036156883,-0.853075711,0.557188454,-1.001736776,2.061857564
0,-0.790810004,0.27817567,0.833812704,-0.451940995,-0.27602341,-0.403826684,-0.636368727,-0.694500559,-0.36942585,-0.799764118
1,1.468013515,-0.611797567,-1.169176456,0.922137097,1.473155302,-1.165808975,0.301083307,1.630745551,-0.039154387,0.383562401
1,1.442688666,-1.635466277,-1.203118159,-0.77352304,1.501528708,-0.797182646,0.115604411,1.737012091,-0.480404411,-0.123979884
1,2.239444046,-0.258472473,-1.436732275,0.598094134,3.561593253,-1.631931275,0.527822222,3.350369046,-0.152395979,4.304122552
0,-0.104985829,-0.698099933,0.145418449,0.225041278,-0.056188988,0.10030597,1.103275067,-0.210163528,0.0966961,1.205135249
0,-0.200365629,-1.438700347,-0.523235868,0.096219263,-0.753828875,1.199601166,1.720256282,0.799627359,0.094204739,-0.309755002
0,0.825842992,0.334030295,-0.668006881,0.590739001,0.138971392,0.51571813,-0.432130792,-0.123380101,0.00817354,0.431476903
0,0.290636209,0.450519954,-0.086960604,-0.20313915,-0.293946119,-0.756245531,-0.768448844,-0.93755806,-1.165241725,0.628485333
1,1.938838396,0.605772664,-2.239935062,-0.201695582,0.41632892,-0.376874882,-1.273878211,0.27536333,-1.415341974,0.388064756
1,1.874633933,0.56587993,-1.793336099,0.77267904,1.274045303,-2.152672879,-0.53140621,3.472785995,-0.605138254,0.249469003
