Label,log.sigma.1.mm.3D_glcm_MCC,log.sigma.3.mm.3D_glszm_SizeZoneNonUniformityNormalized,wavelet.HHL_gldm_SmallDependenceHighGrayLevelEmphasis,wavelet.LLH_glcm_MCC,wavelet.HHH_glszm_GrayLevelVariance,log.sigma.2.mm.3D_glszm_SmallAreaLowGrayLevelEmphasis,wavelet.LLH_glszm_SmallAreaEmphasis,wavelet.HHL_glszm_GrayLevelNonUniformityNormalized,wavelet.HHH_glszm_SmallAreaEmphasis,original_shape_Flatness
0,1.768823722,0.621605939,-0.39091444,0.17027933,-0.723127601,-0.482045976,-0.854954712,1.048929727,1.21646521,0.924078488
0,-0.958640571,1.092063676,-0.399546607,-0.553049418,0.672318376,-0.049817158,-0.512045114,0.137673182,0.062363516,-1.357001727
0,-1.002178697,-0.373610492,0.554365037,-1.165197632,1.373934465,2.964697968,1.022075963,-1.663742628,0.678158277,-1.121628195
0,-0.908736421,-0.179549035,0.377898528,-0.371225142,0.727181943,0.185363395,0.24361387,-0.152744777,0.603856654,-0.262564283
0,-0.357446612,-0.680284648,-0.19274357,-0.66810529,-0.618652129,-0.517693919,2.974707723,0.58282331,-1.595662004,0.11764099
0,-0.865094017,-0.473086354,-0.259668857,-0.635525426,1.524906972,0.48853765,0.670499157,-0.690426161,0.802949902,-0.729987673
1,-0.086325157,-1.076522698,0.603915436,-0.872633865,0.754130381,0.286913773,-0.461171731,-0.294799878,0.689219941,1.552898742
0,-0.642558554,1.757918285,1.823821194,-1.337534045,1.527573951,-0.258398569,0.875440109,-1.250576096,0.123709812,-0.546797524
0,-0.193779377,-0.748828507,-0.127609224,0.421688435,0.534035,0.730870945,0.706670407,-0.209779524,-0.900268529,-0.513926105
0,-0.829403836,-0.493453676,0.257169984,-0.72022111,-0.822865588,-0.36094992,-0.029362034,-0.728564818,0.281502244,-2.050272886
1,-0.454312378,-0.449836006,-0.446342109,0.212996833,2.367662456,0.745041748,0.165118882,-0.260307159,0.060031695,0.415985332
0,-0.760261341,-0.648558634,-1.00709518,-0.053806031,0.761960354,-0.38852223,0.510668584,0.116431304,0.353382811,1.348401024
1,1.616012865,1.319027689,-1.761642118,0.493031703,0.130681228,-0.397762839,-0.485416325,2.187995717,1.536929776,0.741465549
1,1.589371215,0.85487264,-1.238930712,0.456157423,-1.083884925,-0.200158791,0.538660813,1.001363303,-1.614682596,1.73934073
1,2.427555005,2.856840137,-0.335671454,2.968680088,-0.955178499,-0.723531674,0.706656815,0.631060473,0.317468437,-1.737661277
0,-0.171278651,-0.628093554,0.190142205,0.138372586,-0.131421783,-0.550828994,-1.391628896,0.259166986,-0.208264724,-0.898219107
0,-0.262774466,0.83835332,-0.596714993,0.223741492,-0.500249899,0.926209091,-0.700124554,0.751958931,-1.180917101,-0.010543298
0,0.721645658,-0.852153393,-0.005904289,-0.56533125,0.374830955,-0.423343996,0.934436402,-0.313577671,-1.051186474,1.077534931
0,0.208233164,-0.758029072,0.266575126,-0.081250427,0.287131656,-0.551492561,0.430559756,-0.809998588,-0.159121018,-0.020299671
1,2.111318944,0.493853543,0.473137379,-1.457415607,0.862419522,-0.614236469,0.681160816,-0.820146652,0.451570762,0.244913204
1,2.04377608,2.22699094,-0.617471262,3.538831612,-0.463236145,-0.511795312,-1.054574587,1.708505184,-0.313207782,0.987923783
0,-0.408357896,0.253870212,0.921666376,0.298246362,-0.627320228,0.399424002,-3.388140728,-1.172062021,-0.755492144,-0.469359629
0,-0.753954869,-0.728363427,0.804415414,0.036955376,-0.089730959,5.204219541,-1.041824988,-0.450622553,-0.199638272,-1.057445741
0,-0.375783523,0.861788969,0.577462255,-0.820132749,0.794375628,0.099156287,0.504765166,-0.244239324,0.486221162,-0.254749158
1,0.055078899,-0.485687564,1.285794816,-1.207924351,1.327750586,-0.380611829,0.382399903,-1.091873995,0.868664662,-0.379334712
0,-0.602977002,-1.026392168,-0.198980896,-0.050467979,1.283589761,-0.430131653,0.007990926,-0.743566181,0.724706101,0.617185278
1,1.730214202,2.216317746,-0.647042639,2.476463437,-0.676332332,-0.534933077,-1.313714137,0.71832898,0.498985805,1.469291229
1,1.994130035,1.151345537,0.310951615,1.591860519,-0.208369921,-0.592362064,-0.880191897,0.589325162,-0.648659297,-1.240514255
0,-0.74080621,-0.648558634,0.206824229,-0.38160579,1.314850001,-0.465365782,1.474888596,-0.026106598,1.504318724,1.096624018
0,-0.654843282,-0.449836006,1.332887567,1.395792334,-0.454779913,-0.623898942,-1.066144041,-0.843894926,-0.160895999,1.225285216
1,1.490397692,0.916565823,-0.507581221,1.991407833,1.0078004,-0.524434697,-1.830668873,0.542632503,-0.29693033,1.142078543
0,-1.141682058,-0.310572295,0.230064606,-0.756484003,0.574011375,2.632521286,1.152071192,-0.05566305,0.551907142,0.156100689
0,-1.182424728,-0.646782912,0.746531739,-0.715337622,-0.806060068,0.790491169,-0.197323742,-1.30169864,-1.223356346,-1.450912118
1,-0.12008399,1.778383365,-1.092342411,0.239786642,-0.045532828,0.000774062,-2.34521125,0.591864041,-0.955369386,0.793244702
0,-0.319942547,-0.574889136,-1.007769224,-0.614305676,1.534677049,-0.040308668,-0.198305204,0.349461569,-0.427490838,0.200016284
1,-0.983516555,-0.395436117,0.493442206,-0.534663679,0.566379308,0.074124585,1.222109459,-0.735963161,2.298515117,-0.072582097
0,-0.987296396,-0.510583975,0.546793009,-0.394046626,0.042442786,-0.277214563,0.0105839,-0.822325693,0.386399552,-1.62059308
0,-0.735724996,-0.370256739,-1.060418683,0.670807057,-1.411558636,-0.078698868,0.95011632,1.432186049,-0.224911033,-0.352907645
1,-0.502255794,-0.648558634,2.210685307,-0.991495414,1.465816855,-0.300910964,-0.10930926,-1.42950448,0.538617979,0.122991331
1,1.491802482,4.621994457,-0.396608939,3.653739845,-0.334414607,-0.40780322,-1.099974875,0.095477633,-0.204536624,1.206909744
0,-1.031775084,-0.930567649,1.112469272,0.217502527,0.588861773,0.15589435,-0.275683719,-0.491431914,0.423065358,-0.200594019
0,0.449864296,1.778383365,-1.223911836,1.630930738,0.517394331,-0.152012249,-2.571551984,0.353319939,-1.415916897,0.887973265
0,-1.022252179,-1.032795916,-0.621310927,-0.290281867,0.382155745,-0.065323482,-1.087009862,-0.252592677,1.01793602,-1.821425147
0,0.923243743,-0.230905619,1.152623719,-0.240846087,0.613333864,-0.43944839,0.010339478,-0.811004529,-0.703420095,0.089344283
0,-0.873055417,-0.390721819,-1.11929838,0.30744965,-0.552580048,0.08098467,-0.828636147,-0.23008406,-0.455680262,0.308603006
0,-0.827244606,-0.415020075,0.158641592,-1.238115473,-0.236094489,-0.222049074,-1.495170521,-0.607060376,0.118823268,0.416234341
1,1.314793714,0.106250676,-1.084871659,0.266442204,-0.886660947,-0.399430624,-0.836993877,0.289943752,0.813828574,0.897794376
1,-0.473425961,-1.142701742,0.200457698,-0.599976718,-0.19857481,-0.4693351,-0.082701767,-0.001819559,-0.088015148,-1.931415323
0,-0.228936046,0.550589021,-0.099948723,1.733370202,-2.665358848,0.150383718,2.601168272,2.758145984,-0.852926264,0.484865562
0,-0.573261465,0.661216565,-0.737670072,-0.509840279,-0.769064456,0.163854699,0.120492321,0.445373585,-1.408995746,0.479901763
0,-0.815395866,-0.790262332,0.085947136,0.234665259,-0.38134868,0.079949689,0.729745436,-0.925740296,-0.195628455,-2.222021057
1,0.000648408,-0.771732748,0.664841934,-1.567769173,-0.525249322,-0.139942011,1.481430387,-1.097594068,-0.367149816,-1.118514678
0,-0.963548044,0.069701055,1.045862015,1.338212659,1.215485906,-0.135854053,-0.634032678,-1.023488725,0.603877104,0.096728452
0,-0.446345729,0.069701055,0.905625132,0.774781497,-0.19093934,-0.396983317,0.363975153,0.585572275,-2.109799964,0.336606245
0,-0.429276395,-0.422951423,-0.660877148,-0.427776801,-0.190359128,-0.248029845,2.422872839,0.29612895,-0.631037118,0.670769021
0,-0.436261871,-1.146154559,2.247309704,-1.271261249,2.317403521,0.652111649,0.981932657,-1.940148854,0.214667532,-0.82199009
1,-0.038711935,-0.411510631,-1.192077041,-0.460552044,0.024306918,-0.192528405,0.284814742,2.057616512,-0.517156995,1.172956524
0,-0.730681965,0.530123941,-0.151616178,-0.796237552,-0.221338568,-0.288686623,-0.151576293,-0.323856664,0.381153583,1.656535632
1,2.759093319,2.18817734,-0.773619712,2.837955949,0.785983946,-0.722922924,1.266292051,1.40189733,0.986992173,0.98775797
0,-0.37062241,-0.783547991,0.379232237,0.588908446,-0.924212033,2.763376193,-1.992854308,-0.337575849,-1.37617311,1.125027066
0,-0.59586366,-0.592156831,0.40023355,-1.364860563,0.4233034,0.653978562,-0.157454496,-0.656478052,0.235400667,-0.153962236
0,-0.773338892,-0.402486343,-0.013089167,1.368772767,-0.671012602,-0.03808365,-0.751173959,0.331654887,1.065444345,0.382419574
1,2.245708854,0.370529198,0.241014758,-1.502581387,1.199342969,-0.638923602,0.867190224,0.733468364,0.79404192,-1.118489642
0,1.572215871,1.102648072,-1.424616529,-1.328390903,-0.707115235,-0.538877624,2.18065868,2.405450526,0.208887462,-0.824810043
0,-1.578127831,0.107218837,0.689617002,-0.320015046,-1.212143793,-0.491396663,-2.886659604,-0.628548402,-0.630249894,-0.226454785
0,0.729587594,0.151515333,0.351649183,-0.135996144,-0.051215801,-0.496795487,0.004847676,-1.076613252,-0.081504354,1.092125425
0,-0.223015581,1.778383365,-1.756797467,0.096858541,-0.284440074,-0.471366524,-2.570062369,1.460340438,0.855225105,-0.312386008
1,1.889859485,-0.618791015,-1.432275895,1.289509526,0.113269314,-0.553744377,-0.334691563,3.092227481,0.346538238,0.989792734
1,0.910976914,-0.163980332,-0.40258486,-0.869825407,-0.102698978,-0.474647444,0.198199307,-0.040169994,-0.168101643,-1.615854626
0,-0.441202953,-0.733995679,1.025469556,-0.110970361,0.072223794,-0.316423217,-0.267429438,-0.973107163,0.828612119,0.135749835
0,0.455173398,-0.158738723,-0.401589356,-0.698348681,0.131114836,-0.482256854,0.645863155,0.301168356,-0.301729336,-0.107774798
1,1.330059169,0.321900985,-1.120077645,0.191667949,-1.267533866,-0.525132829,0.229398163,0.008029254,-1.293608317,0.81188157
1,-0.987011534,-0.680976911,1.879758158,-0.713276813,0.717664019,-0.136690178,0.266868273,-1.52572467,1.330140418,-0.676792744
1,0.770718848,-0.158830554,0.69283882,-0.616054565,1.111941864,-0.429572961,-0.619239105,-0.533020803,0.062316647,-0.274976943
0,1.060118057,0.437101961,-0.726931273,-1.083607251,-1.401787014,-0.410283973,1.163546859,0.946799616,0.399525245,0.059929228
1,-0.258548628,1.778383365,-1.938640835,0.738955261,2.042060104,0.356359412,-1.735969911,0.473581186,-1.290625075,1.362466715
0,-0.588185589,-0.63552095,-0.360402033,0.871923731,0.350091364,-0.344844798,0.738392454,0.675548941,1.217476511,0.238139302
1,-0.750461279,-0.396892773,-0.733058292,1.448538883,-0.130072775,0.037080762,0.234311498,0.858178635,0.391245783,0.153549213
0,-0.035242704,-0.574889136,-1.433344133,-0.854358274,-0.705328664,-0.380421647,-0.1896948,0.890817781,-1.764538629,-0.021236047
0,0.888715139,-0.561899767,-0.886328244,-0.435990996,-0.181345033,-0.533665905,1.035344152,1.644642696,-2.753050107,0.86687712
0,-0.208973898,-0.885035103,-1.269926568,-0.181280557,-0.25710345,-0.424967312,-0.293299441,1.521981628,0.320681235,0.046414418
0,-1.058940853,-0.333509511,1.112091651,0.384808762,0.886255648,0.207437763,0.379076083,-0.900220201,-1.289701099,-0.44271366
0,0.588893989,-0.649709693,-0.210569169,-0.732125597,-0.404177831,-0.30533141,1.277945745,0.625915451,0.16587216,0.190050433
0,0.08259607,1.778383365,-2.062101315,0.338960491,-2.380359003,0.455176706,-0.690464997,1.822187487,-2.7998444,0.696569223
0,-1.329414844,-1.033528282,-0.239660021,-1.02855433,0.014158045,2.854263345,-0.142368021,-0.05892959,0.397266828,-2.043466531
0,-0.900522229,-0.600500294,-1.275104319,0.703902191,-0.385046935,-0.390973621,-0.194418593,0.700791498,-3.440414578,0.836993604
0,-0.785109831,-0.347749015,0.067341233,-0.258582071,-0.690338305,-0.013427729,-1.33215719,-0.272740534,0.473294033,0.825603237
1,-0.928058893,-0.219180483,0.578464611,0.631863709,0.141280363,0.176719901,-0.190271362,0.177259612,-0.606852445,0.66012915
0,-1.064513222,-0.61533311,0.116178059,-0.856945183,0.267818056,-0.410708977,0.223058759,-0.64371274,0.177111524,-2.01932726
1,-0.568262811,0.485842053,-0.098368286,0.937084759,-0.508134224,-0.117772213,0.195994226,2.289632654,-1.110416713,0.65920764
0,-0.28978721,-0.713530599,-0.171769343,0.001917404,0.577446227,-0.078942692,-0.782295361,-0.293666632,-0.719584254,1.075678307
0,-1.30268315,-0.415020075,-0.362490608,-0.929618405,1.144119513,0.381331374,0.262803321,-0.64268836,1.73053555,1.00027499
0,-0.773407771,-0.693667971,-0.555604058,0.076554065,-0.630383806,-0.440710412,-0.356751104,0.454720635,-0.831481024,0.222198117
1,2.131490039,3.388225414,-1.032714909,2.510502272,-0.41345434,-0.60676858,0.132529951,0.633697875,0.980472235,0.569769609
0,0.03683645,3.637978384,1.949762118,-0.616278572,1.788162279,-0.729817582,-0.445490365,-1.107690414,0.574755106,2.070475986
0,-0.684958528,-0.122141804,-0.525833195,0.623816009,0.949993192,0.449545021,-0.624714233,0.321668903,0.337035813,-0.90358445
0,-0.751022333,-0.603810098,-0.122323361,-0.277552724,-0.19093934,-0.630016934,0.322525796,0.645439268,0.958916176,0.676508206
0,-0.977681511,-0.874165846,0.678629671,0.542027948,0.477785601,0.173233469,-1.081435087,-0.548543777,0.301153509,-1.949663662
0,-0.873059758,-0.333509511,-0.910938378,-0.4754166,0.725382554,-0.127530512,-0.336907018,0.208187709,0.086137418,0.160656607
1,-0.054579667,-0.830679625,-0.672329754,0.510130072,-1.557809261,-0.550208889,-0.67724785,0.669798209,0.099811917,1.401054612
0,0.03107131,-0.122141804,0.413767883,-0.050924857,-0.144096697,-0.298836749,-1.187294773,-0.843001358,-0.586849746,-0.988515796
1,0.118343063,-0.53897804,1.033287356,-0.324512556,1.723527915,-0.275492405,0.679437737,-1.667387366,1.429277308,-0.664370488
0,1.324637726,-0.487089047,-1.144457504,-0.998836964,0.67022713,-0.499696654,1.751408211,0.80163064,0.315563094,1.471271927
0,-1.078596131,0.04872808,1.370808276,0.156226399,1.002694234,-0.070612328,0.310515664,-1.566966729,0.790685929,0.740479694
1,-0.000115325,-1.13570978,-0.25882558,-0.146505165,-1.199573118,-0.575854376,0.077526803,-0.373158147,-0.249895067,-1.98266079
0,-0.683605581,-0.191773665,-0.788472745,-0.205590287,-0.544110562,-0.176050031,-0.403422753,0.985196781,1.470125585,0.27350964
0,-0.394345918,-0.548288761,0.555096911,-0.891675699,0.661716098,2.761329611,0.775282794,-0.745141039,-0.977478123,-0.932924322
0,-0.637349413,3.658443464,-0.664177827,-0.891974202,0.682851326,0.374575941,0.299748865,0.109964358,1.611269496,0.227049274
1,1.064056895,-0.371782408,-0.77474878,-0.772635618,-0.125707705,-0.579951736,1.23774461,0.545143964,0.811487077,0.028102603
0,0.288323278,-0.921190103,-0.2913855,-0.577356381,1.269597034,-0.155291323,0.137597032,0.325045151,1.364675654,-0.263718868
1,1.113431409,-0.281583416,1.140465125,0.415398587,0.162779217,-0.397815359,-0.142754161,-0.479181512,-0.506600161,-1.860347784
1,2.247822063,0.719651654,-1.006280749,0.553808989,0.3179045,-0.444611717,0.106864277,1.829275768,0.451321152,0.561981371
1,-0.656473847,-0.974561775,-0.168179298,0.598051992,-0.735416093,-0.324642936,-2.255596772,0.61925293,0.294905723,1.153280465
0,-1.317764389,-1.423593978,4.360356784,0.645030995,-0.707059056,0.04398174,-0.523751297,-1.278394082,-1.298223216,-1.146383668
0,-0.732730863,-0.537538407,-0.843937201,1.338046688,-0.220894897,-0.528653266,-1.486827713,1.712179241,0.139446319,1.518246456
1,2.390290153,2.173626351,-1.2190279,0.980209559,-0.25076758,-0.651164896,1.40129015,1.557895396,-0.075239863,0.056764487
0,0.830529531,-0.772861889,-0.748090488,0.272124229,-0.665396192,-0.540515646,-0.220040597,1.609133476,-0.698757498,1.263862999
0,-0.128570877,-0.706081229,0.133153345,-0.926969474,-0.719691409,-0.095605435,-0.004565815,-0.217074651,-0.238997837,-2.157944622
1,1.057959886,-0.150032178,1.08617088,0.276444939,-0.008257809,-0.558782854,-0.516473426,-0.613574316,0.87755845,-1.566479564
0,-1.299785062,-0.680976911,0.593421205,-0.903760944,0.454330226,0.626366764,-0.006184518,-0.915809084,0.260152383,-1.214637043
1,1.52098774,1.788969081,-1.131677539,2.106151189,-1.145574209,-0.495391269,0.059998106,1.417206072,0.390423879,0.924592217
0,-0.710426253,-0.296589081,0.450855176,-0.657795781,2.299655863,-0.359847308,0.850714546,-1.528561685,0.744697439,-0.090782064
0,0.420388164,-0.233203562,0.71018139,0.177430525,-1.159096984,-0.458487621,0.112554062,-1.223599664,-0.450760062,0.352961804
0,0.383410779,-0.206552674,-0.151180955,-0.996787758,-0.231879067,-0.298272021,-0.321704958,1.015179812,0.634233687,-0.252952524
0,1.686895343,3.131819007,-1.062202575,1.874151446,-1.380018337,-0.418248796,-1.104160635,0.800975777,-0.617994389,1.591635659
1,0.674291747,-0.187013668,1.0731011,-1.248212464,1.605198117,-0.594552182,0.380018801,-0.876853889,0.838952379,-1.250898629
0,-0.272008518,-0.246296733,-1.548583711,-0.756961381,-0.294333575,-0.4070916,-1.159168791,1.163205575,-0.4268287,1.397386261
1,2.28222352,2.448032053,-1.424472606,1.532808899,0.538170173,-0.705724372,1.51647844,1.7475011,0.549536488,0.808011119
0,-0.392577203,0.32753787,1.232199078,-0.890342072,0.908101854,1.414107317,0.622633491,-0.845875033,0.622520543,-0.595944344
1,1.756781879,1.351395343,-0.951717938,-0.205231313,-1.310834147,-0.321116962,-0.084050338,1.337474575,-1.054796137,1.620991122
0,0.170472542,0.300709078,-1.33265339,-0.244332758,0.618898327,-0.373679866,0.543017057,1.708975329,-0.611023989,0.55167128
0,-1.12694163,0.485842053,-1.374068252,0.28736813,-2.137227021,0.300367865,-1.86761349,1.346084743,-0.129765759,0.322523505
0,-0.471098582,-0.485362464,0.587784238,-0.670426316,0.328220516,-0.667368848,0.796098058,-0.893825602,0.562095309,1.120912022
0,-0.390259168,-0.171308585,-0.494751769,1.488150988,-0.907473033,-0.265992701,1.282423678,0.832533775,-2.917656611,0.837798403
1,-0.369675383,0.530123941,-0.042982047,-0.6729167,1.805911761,1.776764305,-1.351062504,-0.870948551,-0.375526016,-0.236611937
0,-1.08199153,-1.02380328,1.45328848,-0.278971853,-1.016084912,0.005525141,0.065291864,-0.258617269,0.250703102,-1.568500703
0,0.155606938,0.499942503,-0.403197629,0.771510698,-0.333701207,-0.402988926,0.240296908,-0.450445199,-1.456357254,1.793576002
0,-0.786318099,-0.728363427,1.252961164,0.752133156,0.026006743,0.292053051,-0.315883001,-1.485962983,0.768010847,-0.950244518
1,-0.990290323,0.499942503,-1.534899513,0.413203627,-0.018625048,0.260600076,-1.23721706,0.926684819,-0.611700643,0.418906833
0,-0.51983783,0.81788824,-0.721397523,0.82505013,-0.706167202,0.340143761,0.007356473,2.025902139,-0.791638343,0.536420466
0,-1.397502092,-0.748828507,0.733199541,-0.583937953,-0.190577379,-0.202195249,-0.028354107,-0.988646916,0.02732245,0.510661474
0,-0.50554031,-0.808579323,-0.459526101,1.197768188,-1.663896282,-0.34472683,-1.505315902,0.200670767,-0.162055616,-1.949886835
1,-0.075924236,-0.233203562,-0.20603843,-0.249395114,0.924826565,-0.458742465,0.502984366,-0.59981678,-0.048054429,1.505139276
0,-0.737128893,0.086753757,-1.591452886,0.568412209,-1.197026178,-0.641604837,-1.020757678,0.776367906,-1.201822661,0.944720099
0,0.517223401,-0.48199706,0.242281274,-0.444497214,-0.937716168,-0.658891936,0.518977143,-0.822377301,-0.802310419,0.648416079
1,-0.125613983,-0.603810098,0.076405981,0.271792313,-0.745331482,-0.353309357,1.842453666,-0.156587514,-0.346834446,0.943931023
0,1.001241965,-0.564381683,-0.242898719,-0.627765909,-0.402954209,-0.548665394,0.793645625,0.94822587,0.118541551,-0.413486933
1,1.482071878,0.004949858,-0.954723785,-0.93930898,0.322335664,0.351295423,0.699790183,1.349380665,-0.115924236,-0.269805698
1,0.891987143,-0.208597148,0.602630744,0.048450448,0.88747085,-0.550754599,0.076491296,-0.590895218,1.29037267,0.037961841
1,0.077734448,-0.603112823,0.994944589,-1.270076395,1.811394798,-0.355740774,0.382175168,-0.930555299,0.541852566,-0.334520721
0,1.307496977,-1.127398435,0.982865412,0.373470763,-0.115903518,-0.57411964,-0.4799128,-1.421281643,0.633056061,1.85888199
1,2.093363976,2.424453336,-0.957570425,1.488237138,-0.675440164,-0.524828989,-0.035169599,1.635709382,-0.809344844,1.014013657
1,1.04676697,-1.151145895,-0.492819854,0.768155774,-0.500045792,-0.606648821,-0.703739092,-0.677052901,0.055270261,0.6093106
0,-0.696719336,-0.232315461,0.338885897,-0.808451877,-0.234492241,-0.179516266,0.524040781,-0.299000106,-0.664500519,-0.797817102
0,0.078293847,-0.790262332,-0.21122402,0.475591728,-0.428251588,-0.42972002,-0.98833569,-0.150828599,-0.268824322,1.217405242
0,-0.700107421,2.248398392,2.883208113,1.605688972,1.348644087,3.992776306,-1.329094781,0.065875629,1.040032247,-2.399618681
0,-1.172804566,-0.422951423,-1.382521748,-0.110618906,-1.679181981,-0.171595464,-1.710611746,1.851758831,-0.555045745,0.812611974
0,-0.540508739,0.995024996,-0.061034447,-0.060986249,-0.09741234,-0.498053426,-1.313276299,-0.793354012,1.012272946,0.679099037
0,-0.573775365,0.525009969,-0.5342476,3.114259668,0.691003835,0.537992421,-0.058048955,2.258069636,-3.971192366,0.610951122
