Label,log.sigma.2.mm.3D_glcm_ClusterShade,log.sigma.1.mm.3D_glcm_Imc1,log.sigma.1.mm.3D_glcm_MCC,wavelet.LLH_glszm_GrayLevelVariance,log.sigma.3.mm.3D_firstorder_Skewness,wavelet.HLL_glszm_ZonePercentage,wavelet.HLL_firstorder_Skewness,wavelet.LHL_glcm_Correlation,wavelet.LLH_glrlm_GrayLevelNonUniformityNormalized,log.sigma.2.mm.3D_glcm_Imc1
0,-0.109229865,-1.501081832,1.768823722,1.261773514,-0.694884142,-0.635516068,-0.165154922,0.144353036,-2.209937263,0.375460303
0,0.33073036,0.881319698,-0.958640571,-0.427722416,0.49876602,-0.060760842,0.388818513,-0.049230202,0.457906475,0.670938203
0,0.092638982,1.134319668,-1.002178697,-0.434022274,0.99025809,0.067236119,-0.536889925,0.061895168,0.992775322,-0.378076234
0,0.091963441,1.002672502,-0.908736421,0.220532201,-0.374982362,0.799664069,-0.058986798,0.164798114,-0.116924513,-0.060212557
0,0.313509464,0.546714296,-0.357446612,-0.467965937,-1.082573014,-0.341485126,-1.594417755,-0.798243179,1.188005263,-0.352161941
0,0.328542795,0.920862922,-0.865094017,-0.265420302,-0.569390825,-0.692244592,0.332771412,-0.762114383,0.414007304,-1.208744604
1,0.072978762,0.289972792,-0.086325157,0.002846996,-0.639200733,0.031109466,0.796642646,-0.000963897,0.131287312,-1.31924408
0,0.330828347,1.007767404,-0.642558554,0.09436703,0.442331311,0.730320891,1.271435781,-0.443583771,0.361304619,1.092406533
0,0.331170497,-0.231398855,-0.193779377,-0.332928489,0.1823197,-0.323186957,-0.398642454,-0.385573744,0.907814307,0.382512283
0,0.328063435,0.896632662,-0.829403836,-0.139162359,0.072163309,1.09391511,-0.657838759,-0.478103662,-0.431042693,0.972566694
1,0.086549479,0.50586814,-0.454312378,0.515414296,-1.757569988,-1.115706648,-0.83335857,0.026104024,0.385613792,-0.784691443
0,0.327007483,0.807851079,-0.760261341,-0.334155188,-0.201282348,-0.312579582,-0.767267945,-0.086286623,0.797582294,-0.690509347
1,-0.716708176,-1.25905409,1.616012865,1.62717719,-0.686345401,-0.035728756,0.410848079,1.497312216,-1.799337273,0.326676738
1,-0.21241264,-1.294078883,1.589371215,1.658991938,-0.346881926,-0.405607621,-0.142354131,0.759205254,-2.209174433,0.125422118
1,-13.19145379,-1.535147699,2.427555005,3.968916742,-1.912860879,-0.130653785,-2.33708638,3.43390012,-2.773720728,0.572700705
0,0.084341469,0.199507648,-0.171278651,-0.023256187,-0.1574363,0.115047229,0.289094876,-0.604811887,0.306923732,1.02133431
0,0.092607318,-0.453103108,-0.262774466,-0.641505983,0.147033668,0.11225575,-1.221288507,-1.187156035,0.049896717,1.590906994
0,0.037181316,-0.594400514,0.721645658,0.149695314,-0.908476795,0.015860937,0.398106258,0.238719468,-0.320706214,-0.396091723
0,0.074009359,-0.027295747,0.208233164,-0.233957009,-0.50175068,-1.298907965,-0.591360139,-0.30949051,0.648038522,-0.706567263
1,-0.066445958,-2.363980937,2.111318944,0.442170886,-1.075810018,-1.18932122,-1.461500478,0.064415986,-0.065429296,-1.382241566
1,-2.063844324,-1.903130862,2.04377608,1.40391762,-0.324201394,-0.510166056,-1.647277722,3.818633903,-2.722546207,-0.576619347
0,0.331740351,0.190805639,-0.408357896,-1.332401491,1.124220527,0.618612575,0.289375534,0.825431199,1.44238294,1.805875934
0,0.092016742,0.730865563,-0.753954869,-0.791165191,-0.116609831,1.6179234,1.02920897,0.090331119,0.106230497,1.295592063
0,0.092908572,0.657395862,-0.375783523,-0.10854037,-0.300186877,0.160882979,0.344426819,-0.339820671,0.262491526,-0.742401576
1,0.066639048,0.338936677,0.055078899,0.41077245,-1.481621935,-0.760123805,-0.055175865,-0.272817832,-0.123960855,-2.374577223
0,0.322938606,0.885776921,-0.602977002,0.339750321,-0.397208396,-0.039148495,1.567081432,0.205867278,-0.345531143,-0.321654636
1,-1.784809406,-1.437369509,1.730214202,1.947830866,-0.120657349,0.833387201,-0.06204312,3.579932302,-2.781159912,-0.91307589
1,-1.53104522,-1.655327996,1.994130035,1.25628692,-1.509000438,-0.120769776,-1.954872733,0.533411885,-2.355500301,-0.096016801
0,0.317569981,0.794944598,-0.74080621,-0.096551638,-1.42098996,-0.471916909,-0.261276045,-0.660495291,0.498446375,-1.785442109
0,0.091533305,0.756834281,-0.654843282,0.417650589,0.543725474,0.754027664,1.367717678,-0.313264802,-0.232452908,0.818359466
1,-0.028169504,-1.335671097,1.490397692,1.219119719,0.036321545,-0.714462519,-0.242839716,1.048772787,-2.377450556,-0.099966609
