Label,log.sigma.1.mm.3D_glcm_MCC,wavelet.LHH_glrlm_RunEntropy,log.sigma.1.mm.3D_glcm_Imc1,wavelet.HLH_glcm_Correlation,wavelet.LLH_glszm_GrayLevelVariance,wavelet.HLL_firstorder_90Percentile,log.sigma.2.mm.3D_glcm_Imc1,wavelet.LLH_glcm_Correlation,wavelet.HLL_glszm_ZonePercentage,wavelet.LLH_firstorder_Kurtosis
0,-0.977681511,0.907937204,0.905422416,0.257105428,-0.387167846,0.065356624,1.034810055,-0.431469161,-0.207303693,-0.560291333
1,0.712909731,1.709315196,-0.61022437,0.007611059,0.573037767,-0.262220466,-3.271486387,-0.238439684,-1.514695099,-0.149481649
1,-0.906299895,1.143596462,1.018411494,-0.132669994,-0.071462776,-0.118654169,-0.499670673,-0.126306166,-0.749196495,0.409535744
0,-1.358481546,-0.430080942,1.255440638,-0.669098289,0.328442547,1.887848521,1.249392013,-0.593364892,0.702546936,0.17618109
0,-0.441202953,0.551208262,0.625349171,0.506683729,-0.488007701,1.83052388,0.499681967,-0.661220283,0.398114739,-0.694378284
1,-0.12008399,-0.36575586,-0.979821516,0.163302948,0.303855091,-0.324449368,0.239862866,0.972993924,-0.67613246,-0.332689935
0,1.502678063,-0.180946576,-0.997810213,0.006697809,0.91155739,-0.81892069,0.520319548,0.457567005,-0.6701665,-0.208608683
0,-0.690342037,0.47126646,0.708701468,0.723758693,-0.346989251,-0.043586137,1.601547769,-0.067644996,1.044959679,-0.665431875
0,-0.657048618,0.504352238,0.687155245,0.007605883,0.313312183,0.39531291,-0.649238124,-0.397399499,0.07242208,0.885304907
1,0.699484855,0.726529667,-0.37249943,-0.541480191,-0.38485419,-0.572822398,0.06382392,0.104853989,-0.004302858,-0.915870397
1,-0.369675383,0.699873235,-0.126526032,0.419418664,-0.742426856,-0.210273313,1.107320033,0.85356034,-0.312579582,-0.244200268
0,-1.078596131,1.299084075,0.878593338,-0.426954666,0.063619778,0.287690145,-0.02580899,0.052692933,-0.319677083,1.543270911
0,-0.588185589,-0.381139382,0.56596295,0.477110319,0.407401926,0.100816344,0.490453204,-0.980449693,0.325489827,-0.44857098
0,-0.897998986,0.077916953,0.867274079,-0.101731051,-0.461772626,-0.208749943,1.41835836,-0.156617829,0.390586445,-1.121967715
1,1.730214202,-0.863810151,-1.437369509,-0.25166747,1.947830866,-1.295377401,-0.91307589,3.136425374,0.833387201,0.122601367
1,1.113431409,-0.12020632,-0.84507699,-0.484285141,0.296850805,-0.643558619,-0.244058752,-0.62160496,-0.729974243,-1.003423617
0,1.686895343,-0.44318041,-1.297183584,-0.528409127,4.684128375,-0.128261109,-0.727052075,2.865112335,0.409963653,-0.655221525
0,-0.827244606,0.585319715,1.007045706,-0.191469984,-0.28955494,-0.253307166,-0.47922735,-0.141358743,-0.219639968,0.1791095
0,-1.397502092,0.422189806,1.286763219,0.214419965,-0.260231425,-0.135226625,-1.343385736,-0.508004686,-0.282389357,-0.343062962
0,-0.89770996,-1.219410502,0.773429593,-0.32807285,-1.01389398,0.57776535,0.467794216,-2.347107249,2.007273257,-1.313990874
0,0.078293847,-0.688609737,-0.081568801,-0.012623706,-0.242641831,-0.015533268,1.339314662,-0.098189644,-0.614481879,0.74794079
0,-0.599270443,0.249202031,0.823337837,0.191774457,-0.450644198,0.221566964,-0.857923732,-0.333003674,0.222610853,-0.905625745
0,0.059349892,-0.354263669,-0.712201596,0.262552316,-0.099523857,1.1450548,-0.7466029,1.122917354,0.052318071,-0.738039247
