Label,log.sigma.1.mm.3D_glcm_Correlation,wavelet.HHL_firstorder_Skewness,wavelet.HHH_glszm_GrayLevelVariance,wavelet.LLH_firstorder_Kurtosis,log.sigma.1.mm.3D_glcm_Imc1,log.sigma.2.mm.3D_glrlm_LowGrayLevelRunEmphasis,wavelet.LLH_glcm_Correlation,wavelet.HLL_glrlm_LongRunEmphasis,wavelet.LLH_glszm_GrayLevelVariance,original_glszm_LowGrayLevelZoneEmphasis
0,-1.192751084,2.540938395,0.568617956,0.786696357,1.01222774,1.749635054,-0.096998159,-0.882070922,-0.144650052,1.19534005
0,-0.21283611,-0.288423316,2.130256356,-0.581978037,0.666643097,0.572467354,0.151249804,-0.31751444,-0.158741075,0.113836742
1,0.315186118,-0.143973419,-0.576222123,-1.849006902,-0.346853416,-0.132304152,1.210657146,0.827378637,-1.276664705,1.144124762
1,2.249110492,-0.236467389,-0.246048241,1.220018929,-2.185712797,-1.361087279,2.245385884,0.406202227,1.423875078,-1.992619991
1,0.200515666,1.147689528,-0.341586254,-0.123592053,-0.065182225,-0.517492872,0.111749308,0.648600643,-0.106481365,-1.370551688
0,-0.708214854,-1.217217063,1.358005114,0.881432595,0.841548046,0.236621583,-1.083329535,0.86374238,0.191349054,-0.766883089
0,-1.44533988,-0.501621053,-0.415781218,-0.083881432,1.489931209,1.536098866,-0.707868733,-1.099375644,-0.525847295,0.113836742
0,-0.345103813,0.483352934,0.890575271,0.018682273,0.643679243,0.016536787,-0.523903811,1.175760618,-0.07419543,0.076689692
0,1.048458218,0.415482401,-1.343532535,0.269209782,-0.885161373,-0.967457632,0.779489736,0.109027598,-0.113351822,-1.188247827
1,1.568316435,0.996326803,-1.477499751,1.040450124,-1.119121241,-1.291750427,1.716818244,-0.981045029,1.041880337,-1.78140426
1,1.906845314,0.095062248,-0.443669891,0.147638003,-2.050764676,-1.142782473,0.804917756,-0.126444076,0.458401306,-0.503244279
1,-0.200963851,-0.583138559,1.336472355,-0.64815489,0.503941549,0.417822523,0.542888285,0.345283195,-0.213751516,0.113836742
0,-1.196043116,-2.994622148,-1.80870636,-0.244276318,1.123018483,1.009369618,0.055327452,-0.066981688,-0.261598646,0.114341999
1,1.913709209,0.516330534,-0.4784848,0.252757866,-1.796289422,-1.322254121,3.449522392,-0.235554316,1.263929156,-1.876829399
1,2.193092946,-0.339001089,0.262689362,0.671600991,-2.169223462,-1.155187652,2.501302219,0.376687415,1.986479878,-1.156332711
1,-0.576791557,2.265801413,-0.508845227,-0.455846735,0.405515526,0.623444251,-0.909048637,-0.808149904,0.051178766,-0.43345237
0,-0.391245615,-1.849519186,0.443352259,-0.935794065,0.74339142,-0.773397561,-0.442385797,-0.099004705,0.186070186,-0.98980528
0,0.18096457,-1.182620744,0.165059605,-0.717566646,-0.646346312,0.953364262,1.040295615,0.198541717,-0.066328276,0.546741222
0,-0.141909495,0.012682108,2.724385769,-0.621853524,0.367859125,0.29926632,0.133700479,3.344940591,0.277404067,0.511408991
0,-0.559085053,-0.076991845,1.46670754,-1.057325505,0.808931035,-0.56483725,-0.631295659,0.353835455,-0.063698433,-0.43642368
0,-0.586854283,0.058151343,-0.01796846,1.171872929,0.832742956,0.124146333,-0.172130959,-1.318229808,-0.180221219,1.188011269
1,-0.126773583,-1.360498566,1.201259492,0.41706572,0.489488758,-0.249790121,-0.835167134,-0.773901642,0.271017385,0.500235867
1,-1.30509594,-0.281471077,-0.051635111,-1.512861454,0.832856545,1.219997715,0.205992474,-1.109377987,-1.314478997,1.188011269
0,-0.639963757,-0.646839094,-0.726930233,-0.560389962,0.563238727,1.039812818,-0.067802015,-0.97789472,-1.385991086,-0.914613436
1,1.930065774,-0.028117543,-0.424024455,-0.269777604,-1.907732333,-1.355107807,3.096721527,0.123105069,2.616346661,-2.089475599
0,-0.085458586,0.130641968,0.612510817,-1.468946014,-0.182090528,-0.052659787,-0.172039474,1.257368783,-0.272846622,-0.43642368
0,0.576064245,1.202927149,-0.997556898,-0.985636168,-0.410996788,-0.337447239,-0.084152247,0.357162998,-0.564436115,1.156101784
1,0.215987324,0.162774757,-0.524831028,0.941319066,-0.050834356,-0.680959879,-0.433498983,-0.095640674,-0.886261532,-1.361683934
1,0.796018369,0.019915302,-1.285905673,1.060142532,-0.800883542,-0.841993832,1.057085156,-0.678840724,0.699947798,-1.60076815
0,0.005256958,-0.229860881,1.46903841,-0.263205663,0.214080054,-0.827760527,-0.72638942,0.48574977,-0.003054459,-1.115689231
0,-1.587701364,-0.365600965,-1.905970718,-0.400593559,0.745087105,1.603345277,-0.647468866,-0.998988117,-1.274190468,0.500235867
0,-0.471310291,-0.426495165,0.107298163,-0.6745433,0.645172281,0.035804137,-0.580715962,-0.39002726,-0.410061989,1.151174762
0,-1.057192274,-2.195414716,1.123665556,-0.9836734,0.846184726,1.33646819,-0.515131745,-1.778467847,-1.522529693,1.144124762
1,1.908354378,-0.003740488,-0.710631951,0.072257854,-1.504743812,-1.339764756,2.355450009,-0.609902217,0.659865468,-1.561879797
1,1.013872729,0.123012983,0.794674277,0.285258152,-0.808961764,-0.896800487,-0.57944823,0.579698306,0.847284642,1.131117862
0,-1.484294111,1.250175154,-1.81130826,-1.343495328,0.746809084,3.919074166,-2.62155779,-1.21861701,-1.190867422,1.188011269
0,0.135699932,1.213857746,-0.693028277,0.539700801,0.079105602,-0.171369529,-0.017561965,-0.327133805,-0.280194248,0.494595487
1,-0.989305147,-0.977576455,1.25862533,1.077140807,0.978282849,1.335798616,-0.187338014,-0.057582082,0.214939885,0.114341999
1,2.195383133,0.262535589,-1.016660355,4.294945314,-1.4409705,-1.401945443,3.327936122,-0.452618646,3.533461557,-2.092458477
1,1.754805568,0.991623962,-0.665945197,0.111205438,-1.531753229,-1.102846272,3.443189559,-0.986304093,2.206170293,-1.648722917
0,-1.046420232,0.748510503,-0.016141132,-0.92058665,1.050854755,0.932113965,-0.628398722,-0.797730847,-0.592419406,0.357375541
1,0.122635359,0.968279125,-1.154661226,0.759539005,0.166932171,-0.425615395,-0.085325081,-0.521039338,-0.246089041,-0.94598228
1,0.841880639,0.254083105,1.004334123,0.747092246,-0.707809829,-0.952114436,-0.291102085,1.084577482,0.136942113,1.288030618
0,-0.67765784,-2.268523182,-0.779749725,0.348705842,0.631989174,0.498371248,0.515687914,-1.341174555,-0.60948153,0.500235867
0,-0.789955575,0.754482887,0.074718308,-0.664359435,0.877124362,-0.509569997,-0.230444203,-0.164961263,-0.331020361,0.546741222
0,-0.577597977,0.270526125,-0.240558681,0.208429356,0.901470949,0.180538058,-0.996844991,-0.63784476,0.77419574,1.144124762
0,-0.92656532,0.418059635,0.446357808,-0.617012597,0.790136365,1.571952661,-0.19589373,-1.643068288,-1.206531765,-0.715124206
0,-1.04427539,0.461311114,-0.694644493,-0.108635728,1.306743311,-0.250548925,-0.698636218,-0.608445333,-0.835895697,1.188011269
0,0.2636187,-0.267574817,0.843348212,1.640258238,0.049016015,-0.58152186,-0.278794673,0.567015746,0.1721173,-0.935567768
1,0.891240047,0.350821336,-0.518753852,0.31264456,-0.79990251,-0.675696623,-0.525086428,-0.057819656,0.897203885,0.320150022
0,-0.764990864,0.374769302,0.321274556,-1.351385808,1.012869208,0.170559698,-0.550219782,-0.448268352,-0.604250096,-0.187762594
