Label,wavelet.LHL_gldm_DependenceEntropy,log.sigma.1.mm.3D_firstorder_Minimum,wavelet.HHL_glszm_GrayLevelNonUniformityNormalized,wavelet.HHL_ngtdm_Contrast,wavelet.HHL_glrlm_ShortRunLowGrayLevelEmphasis,wavelet.HLH_glrlm_LowGrayLevelRunEmphasis,wavelet.HLH_gldm_LargeDependenceHighGrayLevelEmphasis,wavelet.HHH_gldm_DependenceVariance,wavelet.LHH_gldm_LowGrayLevelEmphasis,wavelet.LHL_ngtdm_Contrast
0,-0.822662546,0.773999031,-0.466397192,-0.258387443,1.426079479,0.121774903,0.072586015,2.163897127,0.428762954,0.215378388
0,0.049661515,0.470884935,0.611612273,-0.568974291,-0.657751449,0.126624891,0.437887317,0.751670052,0.207489935,-0.909241548
1,0.550859577,-0.023909324,-1.024052598,-0.73197763,-0.986998737,0.148117888,0.20557637,0.195621571,-0.343367902,-0.070509329
1,0.955442235,-2.101173776,-1.103402777,-0.813613016,-0.735120369,-0.044315225,0.746066701,-0.973330353,-0.227977981,-0.894270696
1,-0.411755493,0.656491134,1.285368185,1.944881163,1.307243742,0.486834477,-0.528222802,-0.435090748,0.067313167,-0.404466653
0,-1.09978621,0.893793586,1.285368185,1.946296651,1.39792446,0.080578938,-0.074048325,0.074491019,0.241426974,-0.728069295
0,-0.153076603,0.399879592,-0.234758791,-0.582706298,-0.527025955,0.17663026,-0.494853768,0.366349405,0.208872608,0.399937382
0,-0.53337397,0.811720792,0.112698802,-0.811425087,-0.753462023,0.089882869,-0.080535269,-0.478865599,0.261369281,-0.649539005
0,0.971546563,-1.881947878,0.183858118,-0.119283839,-0.257689715,0.204161091,0.638019491,-0.058302628,-0.034527503,-0.337111279
1,0.417892147,-1.327006715,0.105607831,-0.779005761,-0.70496163,-0.001339139,0.849559771,-0.505816116,-0.510351948,-0.676474691
1,1.074793982,-1.151915391,-0.294505212,-0.512858202,-0.496542394,0.083919006,-0.05987141,0.680845631,-0.063232445,-0.746815272
1,-0.037084411,0.502154489,-0.430646874,-0.815096975,-0.721545323,0.263997601,0.312012162,-0.01945543,0.199753923,-0.413230889
0,-0.675794138,0.765210884,1.285368185,1.667190024,1.377537576,0.119990975,0.131733063,0.135769139,0.129358544,-0.578283195
1,1.146812552,-1.811495217,1.285368185,1.961056604,1.457469556,-0.034116076,2.085603171,0.422397441,-0.243950133,-0.785849131
1,1.228751055,-1.948274836,0.369836489,-0.713824337,-0.668502192,0.187676367,0.738295836,-1.169232223,-0.049049573,-0.358799205
1,-0.363011527,0.286933245,-0.356911853,-0.571641354,-0.553155278,-0.016703092,-1.13902904,-0.500604757,0.286553492,0.301823022
0,-0.542201957,0.871677528,1.285368185,1.887453339,1.311423633,0.297709619,0.041495107,0.405016119,0.170618493,3.128705101
0,-0.236822424,0.844377193,-0.466397192,-0.290416998,1.369090482,0.334840713,0.384455001,-0.02606747,0.135269455,-0.05947611
0,0.027254057,0.791766063,-0.466397192,-0.283550391,1.225841636,0.142982363,0.472950883,-0.218720963,0.014314557,-0.59042348
0,-0.581271083,0.782502833,1.869289982,1.919383282,1.251994072,0.397522509,-0.349415295,-0.120385897,-0.041432481,-0.703261675
0,-0.46757455,0.510916226,0.506805798,-0.666003503,-0.6226245,0.19854071,-0.313485459,0.502183934,-0.01475419,-0.845473928
1,1.122853258,-0.691984617,-1.891113395,-0.100760565,-1.136639558,0.416239273,-0.405786064,0.05167201,0.101184154,-0.097580157
