Label,CT_original_shape_Elongation,CT_original_firstorder_10Percentile,CT_original_glcm_Imc1,CT_original_glrlm_ShortRunLowGrayLevelEmphasis,CT_original_glszm_SmallAreaLowGrayLevelEmphasis,CT_wavelet.LLH_firstorder_Kurtosis,CT_wavelet.LLH_firstorder_Skewness,CT_wavelet.LLH_glcm_Correlation,CT_wavelet.LLH_glcm_Idn,CT_wavelet.LLH_glrlm_ShortRunLowGrayLevelEmphasis,CT_wavelet.LLH_glszm_SizeZoneNonUniformityNormalized,CT_wavelet.LLH_glszm_SmallAreaEmphasis,CT_wavelet.LLH_glszm_SmallAreaLowGrayLevelEmphasis,CT_wavelet.LHL_firstorder_InterquartileRange,CT_wavelet.LHL_firstorder_Median,CT_wavelet.LHL_glcm_Imc1,CT_wavelet.LHL_glcm_InverseVariance,CT_wavelet.LHL_glcm_MaximumProbability,CT_wavelet.LHH_firstorder_Kurtosis,CT_wavelet.LHH_firstorder_Minimum,CT_wavelet.LHH_firstorder_Range,CT_wavelet.LHH_firstorder_Skewness,CT_wavelet.LHH_glcm_InverseVariance,CT_wavelet.LHH_glcm_MCC,CT_wavelet.LHH_glcm_MaximumProbability,CT_wavelet.LHH_gldm_DependenceVariance,CT_wavelet.LHH_gldm_HighGrayLevelEmphasis,CT_wavelet.LHH_gldm_LowGrayLevelEmphasis,CT_wavelet.LHH_glrlm_HighGrayLevelRunEmphasis,CT_wavelet.LHH_glrlm_LongRunLowGrayLevelEmphasis,CT_wavelet.LHH_glrlm_LowGrayLevelRunEmphasis,CT_wavelet.LHH_glrlm_ShortRunLowGrayLevelEmphasis,CT_wavelet.LHH_glszm_GrayLevelNonUniformityNormalized,CT_wavelet.LHH_glszm_GrayLevelVariance,CT_wavelet.LHH_glszm_HighGrayLevelZoneEmphasis,CT_wavelet.LHH_glszm_LowGrayLevelZoneEmphasis,CT_wavelet.LHH_glszm_SizeZoneNonUniformity,CT_wavelet.LHH_glszm_SizeZoneNonUniformityNormalized,CT_wavelet.HLL_firstorder_Median,CT_wavelet.HLL_glcm_Correlation,CT_wavelet.HLL_glcm_Imc1,CT_wavelet.HLL_glszm_SizeZoneNonUniformityNormalized,CT_wavelet.HLH_firstorder_10Percentile,CT_wavelet.HLH_firstorder_Kurtosis,CT_wavelet.HLH_firstorder_Skewness,CT_wavelet.HLH_glcm_Idn,CT_wavelet.HLH_glcm_InverseVariance,CT_wavelet.HLH_glcm_MCC,CT_wavelet.HLH_glcm_SumEntropy,CT_wavelet.HLH_gldm_DependenceVariance,CT_wavelet.HLH_gldm_LargeDependenceLowGrayLevelEmphasis,CT_wavelet.HLH_glrlm_LowGrayLevelRunEmphasis,CT_wavelet.HLH_glrlm_ShortRunLowGrayLevelEmphasis,CT_wavelet.HLH_glszm_GrayLevelNonUniformityNormalized,CT_wavelet.HLH_glszm_LowGrayLevelZoneEmphasis,CT_wavelet.HLH_glszm_SizeZoneNonUniformityNormalized,CT_wavelet.HLH_glszm_SmallAreaLowGrayLevelEmphasis,CT_wavelet.HHL_firstorder_InterquartileRange,CT_wavelet.HHL_firstorder_Median,CT_wavelet.HHL_firstorder_RootMeanSquared,CT_wavelet.HHL_glcm_ClusterShade,CT_wavelet.HHL_glcm_Correlation,CT_wavelet.HHL_glcm_InverseVariance,CT_wavelet.HHL_glcm_MaximumProbability,CT_wavelet.HHL_gldm_DependenceVariance,CT_wavelet.HHL_glszm_GrayLevelNonUniformity,CT_wavelet.HHL_glszm_SmallAreaEmphasis,CT_wavelet.HHL_glszm_SmallAreaLowGrayLevelEmphasis,CT_wavelet.HHL_ngtdm_Busyness,CT_wavelet.HHL_ngtdm_Contrast,CT_wavelet.HHH_firstorder_Kurtosis,CT_wavelet.HHH_firstorder_Skewness,CT_wavelet.HHH_glcm_Idn,CT_wavelet.HHH_glcm_MaximumProbability,CT_wavelet.HHH_gldm_DependenceVariance,CT_wavelet.HHH_gldm_SmallDependenceLowGrayLevelEmphasis,CT_wavelet.HHH_glszm_GrayLevelNonUniformity,CT_wavelet.HHH_glszm_HighGrayLevelZoneEmphasis,CT_wavelet.HHH_glszm_LowGrayLevelZoneEmphasis,CT_wavelet.HHH_glszm_SizeZoneNonUniformity,CT_wavelet.HHH_glszm_SizeZoneNonUniformityNormalized,CT_wavelet.HHH_ngtdm_Contrast,CT_wavelet.LLL_glcm_ClusterShade,CT_wavelet.LLL_glcm_Correlation,CT_log.sigma.1.mm.3D_firstorder_90Percentile,CT_log.sigma.1.mm.3D_firstorder_Skewness,CT_log.sigma.1.mm.3D_glcm_ClusterShade,CT_log.sigma.1.mm.3D_glcm_Imc1,CT_log.sigma.1.mm.3D_glcm_InverseVariance,CT_log.sigma.1.mm.3D_glcm_MCC,CT_log.sigma.1.mm.3D_glszm_LowGrayLevelZoneEmphasis,CT_log.sigma.1.mm.3D_glszm_SmallAreaLowGrayLevelEmphasis,CT_log.sigma.2.mm.3D_firstorder_Kurtosis,CT_log.sigma.2.mm.3D_firstorder_Skewness,CT_log.sigma.2.mm.3D_glcm_Correlation,CT_log.sigma.2.mm.3D_glcm_Imc1,CT_log.sigma.2.mm.3D_glcm_InverseVariance,CT_log.sigma.2.mm.3D_glrlm_ShortRunLowGrayLevelEmphasis,CT_log.sigma.2.mm.3D_glszm_SmallAreaEmphasis,CT_log.sigma.2.mm.3D_glszm_SmallAreaLowGrayLevelEmphasis,CT_log.sigma.2.mm.3D_glszm_ZonePercentage,CT_log.sigma.3.mm.3D_firstorder_90Percentile,CT_log.sigma.3.mm.3D_firstorder_Kurtosis,CT_log.sigma.3.mm.3D_glcm_ClusterShade,CT_log.sigma.3.mm.3D_glcm_Imc1,CT_log.sigma.3.mm.3D_glszm_SizeZoneNonUniformityNormalized,CT_log.sigma.3.mm.3D_glszm_SmallAreaEmphasis,CT_log.sigma.3.mm.3D_glszm_SmallAreaLowGrayLevelEmphasis,CT_log.sigma.3.mm.3D_ngtdm_Busyness,CT_log.sigma.3.mm.3D_ngtdm_Strength
0,0.878544229,-0.387909709,0.710135975,0.318922195,-0.626891022,-0.224151034,-0.933264894,1.024343026,0.224608843,-0.785125869,-0.136763513,0.687993925,0.240772652,0.377358731,0.665423381,-0.723860492,-1.262529787,-0.712731689,0.028146047,-0.137486619,0.336274757,0.908931172,-0.015149121,-0.129764572,-0.388260218,-0.175954412,-0.257391081,0.257923295,-0.222934225,0.332408042,0.179798244,-0.022508895,-0.205027394,-0.232887579,-0.32111499,0.275203645,-0.261904793,1.237603888,0.037082663,-0.327880296,0.474787369,-1.342414978,0.551309874,0.02648695,0.036718807,-0.7806814,0.116145572,-1.193284331,-0.050283132,-0.216229016,0.52772502,0.7041622,0.709475472,0.315046175,0.588962778,1.448180441,-1.010448966,-0.391302184,0.881129328,0.004716816,-0.228359595,-0.707024966,0.717529775,0.310573236,0.217756118,-0.248433681,-0.703736077,-0.449768614,-0.369977797,-0.594467027,1.091343834,-0.576204272,0.065655732,-0.454470565,0.074883002,-0.165467478,-0.481500721,0.046429538,-0.068584082,-0.196230736,0.465749591,0.092113161,-0.104896562,0.124169919,-0.175192402,-0.237724016,0.195342779,0.739696728,1.453066299,-0.244299866,0.724283531,-0.34079169,-0.693132833,-0.020727859,0.070228621,0.663528032,0.88435042,0.151492999,-1.931930546,-0.673742087,-0.523931132,-0.018543399,-0.3652934,0.137704231,0.975226648,1.177528008,-1.632805407,-0.528799309,0.850409217,-0.614913892
0,-1.418789232,0.787159493,1.095623697,-0.389417148,0.68460268,-0.560501719,0.115140308,-0.077263068,-0.802957161,-0.425749648,-0.54651564,0.082074776,-0.826339941,-0.025810127,-0.960840111,0.600722225,0.150557378,-0.555190409,0.660256872,-0.034281695,-0.075040431,0.165638577,0.124278376,-0.385429669,0.472674424,0.811735521,-0.154332053,0.028364767,-0.292105023,-0.926051241,0.33763667,0.93052708,0.055308469,-0.275344527,-0.518510408,0.845570125,-0.261904793,-1.316551724,-0.802020056,1.042019955,0.334735943,-0.869492815,-0.441869391,-0.616906262,-0.146127975,-0.512684547,-0.485285599,0.244653949,-0.309385645,-0.391919727,-0.053601373,0.398081529,0.566063349,1.898626921,1.922318052,0.966235265,3.494508223,0.043635932,0.700146398,0.769729728,-0.156695274,0.297959666,-0.104317854,-0.335164146,0.146515716,-0.201455303,0.206182266,0.885549457,-0.302991626,-0.103378472,-0.388363568,-0.856689884,-0.152714339,-0.360975485,-0.611115149,0.003161694,-0.481500721,0.046429538,-0.068584082,-0.196230736,0.465749591,0.094640253,0.056515645,-0.378671169,-1.425192,0.256758387,0.302577059,1.033626109,1.21874706,-0.754602145,-0.479799587,-0.42516656,-0.336887359,0.012167174,-0.382669149,1.473124827,0.405708977,-0.456130583,0.716303418,0.029021794,0.428952651,-1.101168898,-0.355681539,0.209505251,1.085658882,-0.27296819,0.46819553,-0.475660727,-0.408008718,-0.199213589
0,-0.821710176,0.777972087,-0.731912584,-0.037603768,0.125208937,0.129321776,1.602885564,-0.685053379,0.41725204,-0.224942064,0.967173516,1.456799741,1.370583704,-0.142471622,0.482632356,0.557377041,0.452891801,-0.45995248,-0.184275791,0.222157774,-0.218522151,0.181885505,1.220875841,-0.001893273,-0.518694781,-0.778995274,-0.254425325,0.251317233,-0.239270685,-0.042614326,0.217075839,0.280151527,0.055308469,-0.275344527,-0.123719571,-0.295162835,-0.261904793,-1.316551724,0.213998743,-0.419388344,0.727596955,-0.654324448,0.471767974,-0.397802652,-0.582765629,-0.94163448,0.477352022,-0.531542159,-0.330219307,-0.502696587,0.321877697,0.580360492,0.585178574,1.898626921,1.922318052,-0.318951869,1.24200508,-0.216622879,0.376066548,-0.162851838,-0.272606383,-0.956722596,0.777189186,-0.019037077,-0.131163024,0.046657141,0.556309374,0.074329343,-0.136200247,-0.554359992,-0.415310118,0.390805163,-0.584168295,-0.407357835,-0.593950167,-0.193610375,-0.481500721,0.046429538,-0.068584082,-0.196230736,0.465749591,0.396529505,-0.050957728,1.276313713,-0.103864903,1.703609685,0.498288811,0.444448878,-0.106516023,-0.325068258,1.234168079,0.91589548,-0.123025202,1.152184481,0.391431938,-0.25264813,-0.528063303,-0.135762773,0.682597184,2.135075108,-0.693349736,1.313875405,2.151252027,-0.087012089,0.408243929,-0.805171562,0.152701463,0.137384867,-0.530209769,-0.174064972
0,-0.615861861,0.163334639,0.030549605,-0.462181856,0.149152789,-0.757648833,-0.080253044,1.147591037,-1.028971999,-0.034304904,-0.896718087,-0.227672078,-0.240123946,0.691396822,0.274363014,-1.067953221,0.587230664,-0.721507201,-0.675656815,-0.507855972,0.682349995,1.734975429,-2.760404835,1.866653955,2.147248856,1.931395836,-0.374084893,0.517852596,-0.252980279,2.592026615,0.248359282,-0.82341351,2.137995377,-0.615000109,0.271071266,-1.435895794,-0.13324081,-0.635443561,0.178730683,0.825156971,0.388278752,-0.545830189,0.354258552,-0.353378311,-0.189201711,-0.686637585,-0.094904971,-0.697897496,-0.075673181,-0.105545057,0.5669142,0.553606285,0.499281648,0.803805668,-0.151790152,0.10944384,-0.854049395,-0.426221095,-0.294718527,-0.316808834,-0.17335241,0.960039423,-0.550192857,0.660041642,0.559067321,-0.248433681,0.040780237,0.596767562,-0.287112266,-0.634203892,2.472058873,-2.419838622,1.43859048,-0.276825947,1.211291605,-0.131807539,0.0961004,-1.505786333,1.615472867,-0.196230736,-0.700882164,-1.027400415,0.214200325,0.421963705,0.330829042,-0.179831714,-0.125308264,-0.633543448,1.033675402,0.95197829,0.058306473,0.309957706,-0.482196516,0.196710454,0.540333931,0.094660708,0.752650802,-0.569507893,-0.259275979,-0.52345434,-0.319386897,-0.046737507,-0.438852696,-0.026689476,0.469682624,-0.311957744,-0.071339641,-0.091438369,-0.200444181,-0.451616047
0,0.532001329,-2.207934798,-0.149716953,-0.946933972,-0.707815321,-0.553582582,0.247789736,-0.281174519,-1.721644428,-0.822902678,-0.535449597,0.002817151,-0.936801114,-0.736245634,-0.334367161,0.9932105,0.45668521,0.832177436,-0.592173247,1.014918997,-1.010720669,-0.01961317,-0.182815196,-0.697219843,0.018992431,0.130205167,-0.139762985,-0.004087064,-0.206236997,-0.207436585,0.141697426,0.192532626,0.518127788,-0.350823546,-0.650107354,1.225814445,-0.261904793,-0.181371455,-0.928570869,1.207779402,-0.299935818,0.907614982,-4.429730739,-0.607100326,0.316894992,1.107791583,1.939636052,2.48384971,7.806337176,0.587457698,-1.981582783,-2.120514657,-1.968930204,-1.923414446,-2.116748097,-1.807563597,-0.611616125,-0.708936416,0.070096426,0.180182401,-0.200504392,0.856222423,-0.873549562,0.880977814,0.985573606,-0.239668036,0.942351415,-0.05500074,0.257091491,0.20652791,-0.553710983,-0.271358528,0.644071536,0.431269883,1.249802763,-0.162918945,-0.481500721,0.046429538,-0.068584082,-0.196230736,0.465749591,-0.452791391,-6.120912263,-0.104991529,0.744789651,0.741096218,0.292026392,0.315256865,-0.905102944,0.084801329,-0.722730827,-0.639169058,1.710432007,2.5125602,-0.287011727,0.383110951,-0.103858997,-0.445999915,1.574178216,-0.726697022,0.886423329,-0.470497993,1.095949854,3.294097971,0.179397845,0.352464925,1.688862644,-0.086746781,-0.559639512,1.42586984
0,-1.122517825,0.787159493,0.533544131,-0.905916687,-0.099132867,0.801778047,-0.434395255,-0.130429241,0.797746604,-0.20465441,0.967173516,1.511498282,1.357688574,-0.647733767,-0.137418903,0.880873795,0.418252464,0.456438182,-0.453821005,0.483185456,-0.517896294,0.010498841,0.815579163,-0.205388098,-0.497877261,-0.2482585,-0.289151697,0.328668397,-0.245243003,0.539471391,0.230703866,0.156088148,-0.205027394,-0.232887579,-0.32111499,0.275203645,-0.261904793,1.237603888,-0.049660373,-1.624157188,0.959895707,-0.309263295,0.950923264,-0.490106746,-0.627217247,-1.198480177,1.053758102,-1.010243747,-0.354630017,-0.823024911,0.292345256,0.615115075,0.71230567,1.898626921,-0.744392496,-0.318951869,-0.447358862,-0.339781623,0.170271611,-0.265389306,-0.257001111,-1.229919852,1.051817017,0.511069159,-1.124746612,-0.220542992,0.186589181,0.980240628,0.165038176,-0.42596882,0.068826946,0.472589597,-0.926123091,-0.518928654,-0.936541867,-0.226392673,-0.481500721,0.046429538,-0.068584082,-0.196230736,0.465749591,0.759766635,-0.139454559,0.311374349,-1.072994052,-3.041758671,0.331878922,0.06721452,-1.79704034,1.239770008,-0.201408703,0.554046692,4.221037547,-3.146751543,0.647258129,-0.847844652,-1.779179728,-0.287127952,-0.533161484,-0.591761161,-0.7846956,0.040053283,2.726999427,-0.231272093,-1.699913223,-0.547648891,-0.099369058,-0.180646686,-0.317489445,-0.323523043
1,1.210689902,-0.260204768,-0.007480036,-0.407905787,-0.149555391,0.108898639,-0.757737295,0.635702297,1.0196933,0.015176743,0.535948115,0.408418978,1.324915194,-0.670186747,0.465580348,0.964326047,0.462388065,0.921293194,1.333580192,0.607946019,-0.724095736,-1.056741946,1.065972806,-0.270070619,-0.652272304,-1.224137277,-0.222529639,0.180271279,-0.224637885,-0.013454969,0.183685771,0.21331742,1.422071752,-0.498243503,-0.814603536,1.701119845,-0.101074815,0.173372383,0.030942709,-0.657467728,0.714410675,-1.348759755,0.927656118,-0.543630881,-0.379292883,-1.338340574,1.36762896,-0.750698402,-0.482507834,-0.785380902,0.194985532,0.590013077,0.721211309,0.803805668,1.329715708,0.10944384,-0.854048689,-0.116181447,0.495719877,-0.501313454,-0.347392966,-0.257858931,0.296127151,0.071099211,0.21784502,-0.150258458,-0.017499636,-0.780105232,-0.403965384,-0.686476407,-0.701875878,-0.159738491,-0.890291958,-0.169807564,-1.064693644,-0.235733084,-0.481500721,0.046429538,-0.068584082,-0.196230736,0.465749591,0.645845579,-0.096624851,0.566877586,-0.350678161,-0.880986793,0.329594919,0.189587255,-0.183005076,0.164764542,0.078205073,-0.65288004,0.637885564,-1.333223042,0.406555264,-0.475415932,-0.232053776,-0.267496766,-0.049703147,-0.508114631,-0.661296218,0.23198622,-0.405397665,-0.315167772,-1.056048642,-0.42867118,-0.555377562,0.12591136,-0.378086312,-0.355831651
0,-0.516364863,0.364538826,1.150883827,-0.732970776,-0.141474876,0.358349045,-0.718405426,0.331115563,0.848151618,-0.762603673,0.044996211,1.005651213,-0.373878681,-0.390498541,-0.50093801,0.700503063,0.466558719,-0.120326922,0.196466209,0.29287156,-0.059456254,0.215567677,-0.982575987,-0.356917497,-0.157320358,0.954467588,-0.205733636,0.142859075,-0.260902096,0.528689703,0.266435802,-0.023535569,-0.205027394,-0.232887579,-0.32111499,0.275203645,-0.261904793,1.237603888,-0.431607195,1.055969333,-0.642862783,0.81190844,-0.668422053,-0.382525554,0.38736705,1.461794023,-0.22845398,-0.291988816,0.461444255,0.633012359,-1.368078178,-1.705977497,-1.695038904,-1.24817632,-1.001037199,0.286466865,1.193371161,-0.10970753,0.03835817,-0.231519184,-0.240622956,0.340022683,-0.252196253,-0.150319756,0.680818783,-0.168666312,0.936390293,1.164184094,-0.159056477,-0.23736199,-0.654189845,0.750084285,1.521586341,-0.647849014,1.090931123,-0.083849804,0.38490096,0.046429538,-0.068584082,0.5450147,-0.409224223,-1.04912154,-0.00632599,-0.671099039,0.327817029,-0.563061117,-1.587764129,0.091992528,-0.277987474,-0.029273941,-0.800646654,-0.769137717,-0.033632761,-1.099253685,0.592153177,0.422624157,0.581070971,-0.357046166,0.740923999,-0.570052008,-0.309124856,-1.034544968,-0.746045278,0.060975198,0.533700118,0.626288044,1.792022001,-0.487853603,-0.450456492,-0.146176692
0,-0.515245788,-0.223455145,0.030293953,0.082190102,0.332756514,0.648504067,-1.105492446,0.333975405,0.978018453,-0.839665759,-0.968940521,-0.582321604,-0.772433917,-0.487473955,0.351475954,0.764820574,1.030547635,0.187168247,0.080721948,-0.229241119,-0.067619386,-1.173208588,-0.124823722,-1.283943973,-0.650337143,0.283776949,-0.298562198,0.349629787,-0.265594694,0.15721013,0.277143674,0.140450277,0.518127788,-0.350823546,-0.650107354,1.225814445,-0.261904793,-0.181371455,-0.01919252,-1.249296021,1.094814363,-0.569281307,0.669918222,-0.162492566,-1.601841401,-0.583900595,-0.325464501,-0.804746507,0.037624539,0.154033577,0.539526884,0.555992517,0.481066555,0.315046175,0.588962778,1.448180441,-1.010466611,-0.420946691,0.111960288,-0.340360632,-0.255326377,-1.343990926,0.939407963,0.557318306,-0.930144273,-0.243320388,1.440015559,1.978498434,-0.140373966,-0.422362632,-0.395547393,-0.279418942,-0.379783736,-0.649865057,0.00123545,-0.12206227,-0.481500721,0.046429538,-0.068584082,-0.196230736,0.465749591,0.388408207,0.016660895,0.591503591,-0.501369095,-1.18927415,0.354138478,0.762508178,-0.581848706,-0.139943391,-0.200173548,-0.341159036,0.101384217,-0.70813644,0.413000601,-0.835352904,-0.551972052,-0.152854065,-1.20392344,0.021366735,-0.593409396,0.507165373,-0.4683365,-0.103758756,-0.645522432,-0.69637105,-1.585089542,-0.476373585,-0.060603506,-0.511982705
0,-2.55029139,-0.517452131,0.730386767,-0.190609079,-0.569322937,-0.238306012,-0.507882864,0.215926326,0.208747327,-0.118141233,-0.9821413,-0.67557512,0.086662364,-0.973321396,-0.209154253,0.819182966,0.217447346,1.226780929,-0.488843576,1.054847869,-1.107873855,-0.60177678,-0.095226153,-0.972187725,-0.711157724,0.421878148,-0.272325537,0.291189011,-0.251911559,-0.466084883,0.245920612,0.362160478,-0.072202969,-0.254549288,-0.180118262,-0.132200986,-0.261904793,-1.803057553,0.438228202,-0.328776173,0.008429418,-0.430105027,0.270790404,-0.561688267,0.842462588,-0.859561975,0.293167133,0.4973665,-0.828073545,0.24286221,0.520876481,0.641320659,0.619035589,0.589973388,0.033398081,-1.312963794,-0.541067261,-0.636593741,0.593725894,0.145143814,-0.24092233,-0.794940351,0.857307793,0.204951641,-0.165027057,-0.229806685,-0.948093827,-0.887519382,-0.293106495,-0.557368598,-0.622493204,0.107909945,-0.576420876,-0.553972454,0.398347289,0.10627887,1.746389315,-0.618805835,0.653154617,-0.196230736,-2.034175592,0.478381376,-0.130875347,-0.610892687,-0.235507718,0.300119524,0.390944576,0.057733705,0.575935379,-0.40405687,0.012510009,0.327980461,0.33578769,0.589890307,-1.740262194,1.696367917,0.779915892,-0.192877178,-0.886280464,0.411095165,-0.15778298,-0.608519188,-0.390163743,0.084130848,-0.213093733,-0.508317426,0.107975362,-0.385155786,0.540729118,-0.59087495
