Label,log.sigma.1.mm.3D_glcm_Correlation,wavelet.HHL_firstorder_Skewness,wavelet.HHH_glszm_GrayLevelVariance,wavelet.LLH_firstorder_Kurtosis,log.sigma.1.mm.3D_glcm_Imc1,log.sigma.2.mm.3D_glrlm_LowGrayLevelRunEmphasis,wavelet.LLH_glcm_Correlation,wavelet.HLL_glrlm_LongRunEmphasis,wavelet.LLH_glszm_GrayLevelVariance,original_glszm_LowGrayLevelZoneEmphasis
0,-0.881829821,-0.308806095,0.550975047,-0.542414533,0.915606729,1.763117275,-0.371971288,0.422718666,-0.320838053,1.19534005
1,0.891968255,0.081703719,1.691415013,-0.164307238,-0.679255262,-1.086071118,-0.289386742,2.270831542,0.629310777,1.08808293
1,-0.633995278,0.05572935,0.18003617,0.401756679,0.999299926,-0.314700318,-0.165367883,1.255618526,-0.109918141,2.160126063
0,-1.176796356,-0.282591971,-1.36774598,0.18330257,1.253578978,2.206233731,-0.519064679,-1.181032058,0.312339931,0.114341999
0,-0.471310291,-0.426495165,0.107298163,-0.6745433,0.645172281,0.035804137,-0.580715962,-0.39002726,-0.410061989,1.151174762
1,-0.405169192,0.108554603,-0.076767447,-0.3498249,-1.060180931,1.269612329,1.050450051,0.216316232,0.320563763,1.188011269
0,1.479112757,0.124817527,-0.572425271,-0.224179579,-1.078721,-1.064255539,0.480391613,-0.015736871,1.017585848,0.916580935
0,-0.719849776,-0.327669536,-0.357302135,-0.686761117,0.680096977,0.242566526,-0.100489054,-1.139767867,-0.425941362,0.113836742
0,-0.478137273,0.029154683,0.156118685,0.882070462,0.704851282,-0.18648471,-0.341016661,-0.215485081,0.29895246,0.503195664
1,0.75050743,1.008700518,0.038071486,-0.940356465,-0.434243814,-0.867921451,0.090293573,0.167637042,-0.469371671,-0.600684018
1,-0.6278087,1.097505016,2.003919742,-0.230939609,-0.080826932,0.988258283,0.795566269,0.83889488,-0.635174158,1.19534005
0,-0.702124267,1.444254828,0.902294929,1.549782798,0.855196203,2.237757382,0.032603823,0.905732983,0.045018781,1.188011269
0,-0.409927507,-0.741758592,0.292752455,-0.467166648,0.53298338,-0.163318281,-1.110044436,-0.530313938,0.439329861,0.500235867
0,-0.696519596,-0.398341285,0.298753641,-1.14905168,0.843529997,1.641550519,-0.198892363,-0.757499947,-0.557595541,2.203670451
1,1.754805568,0.991623962,-0.665945197,0.111205438,-1.531753229,-1.102846272,3.443189559,-0.986304093,2.206170293,-1.648722917
1,1.216783084,-0.849976649,0.11779964,-1.02901331,-0.92130635,-0.812868755,-0.713164761,0.619681059,0.31252999,0.491141706
0,1.692180326,0.580925077,-1.323200211,-0.676422063,-1.387270465,-1.129809721,3.143119304,-0.621077955,5.34464747,-1.217550101
0,-0.636020365,-0.037370627,-0.254755365,0.168425867,0.987585765,-0.164701083,-0.182015925,-0.172176057,-0.360065384,0.113836742
0,-1.137333585,-0.794588455,-0.180201309,-0.328358529,1.283823584,0.135948992,-0.441509069,-0.372782377,-0.20852366,0.114341999
0,-1.484294111,1.250175154,-1.81130826,-1.343495328,0.746809084,3.919074166,-2.62155779,-1.21861701,-1.190867422,1.188011269
0,0.056928575,0.861524989,-0.440212362,0.746712387,-0.037416916,0.311118621,-0.069163958,0.505312267,-0.192960242,0.503195664
0,-0.491258268,-0.742809294,0.309560472,-0.882705739,0.836347113,0.512435688,-0.282508631,-0.397334995,-0.377002453,1.165896527
0,0.18096457,-1.182620744,0.165059605,-0.717566646,-0.646346312,0.953364262,1.040295615,0.198541717,-0.066328276,0.546741222
0,-0.172799193,0.078342893,-0.274378102,-0.088975398,0.171150332,-0.003544422,0.106764426,-0.43696416,-0.751321341,-0.908623675
0,1.184078113,0.217882309,0.59176485,-0.128291218,-1.261814223,-0.788893774,-0.074089043,1.291188313,-0.345272524,1.108930693
0,-0.789955575,0.754482887,0.074718308,-0.664359435,0.877124362,-0.509569997,-0.230444203,-0.164961263,-0.331020361,0.546741222
0,1.151520693,-0.127220637,-0.416735771,-0.855499957,-0.963779563,-0.982299104,-0.25302083,0.379205981,-0.176811662,-0.307720124
0,-0.226633198,-0.490364104,0.707721714,-0.116678066,0.627218802,0.33431956,0.132339415,0.080347041,-0.152445381,0.113836742
1,0.426067413,-0.608282998,-0.010989968,-0.19419277,-0.14340916,-0.452585541,-0.409521256,0.032539251,-0.146556824,-1.077522598
0,-0.518890275,-0.872053535,-0.144417086,-1.628709226,0.833294518,-0.420034751,-0.012605773,0.446822706,-0.642350503,1.151174762
1,-0.526723159,1.281318638,1.873080798,-0.193620162,-0.484258064,1.432479951,1.369341759,3.305621949,-0.788413178,1.188011269
0,-0.263182618,-2.094503281,-0.125223817,-1.484604536,0.460457337,0.572744554,0.506302611,0.365899453,-1.197613278,-0.718555152
1,1.359998026,-1.022549109,1.130801131,-0.359932876,-1.24835894,-1.175815043,2.52497138,0.037988678,1.100418447,-1.663210188
0,-0.490873781,-0.542156576,1.694449227,-0.564229162,1.029409643,0.34159376,0.007991634,0.512656159,0.016461923,-0.379364011
0,1.663849932,-0.527309057,-0.762801098,-0.828411756,-1.408077019,-1.105745001,0.620086798,0.751437759,1.138158877,-0.20749865
1,1.953408159,-0.49793405,-0.228860135,1.195029778,-1.756392363,-1.11789958,3.177283188,-0.075251973,1.412983556,-1.325777563
