Label,log.sigma.2.mm.3D_glcm_ClusterShade,log.sigma.3.mm.3D_glrlm_LongRunHighGrayLevelEmphasis,log.sigma.1.mm.3D_glcm_Imc1,log.sigma.3.mm.3D_firstorder_Skewness,wavelet.HLL_glszm_ZonePercentage,wavelet.LHL_glcm_Correlation,wavelet.HLL_firstorder_Skewness,wavelet.HLL_firstorder_90Percentile,wavelet.HLH_glcm_InverseVariance,wavelet.LLH_glcm_Correlation
0,0.330805105,-0.476129723,0.905422416,-0.489853243,-0.207303693,-0.346509365,1.511812493,0.065356624,-0.216099413,-0.431469161
1,0.059397036,1.673863845,-0.61022437,0.005891367,-1.514695099,-0.363124779,-0.437539639,-0.262220466,0.748711442,-0.238439684
1,0.086692274,-0.182590883,1.018411494,-0.659041463,-0.749196495,0.250136524,-0.03589653,-0.118654169,0.701728549,-0.126306166
0,0.331092638,-0.481250979,1.255440638,0.526010515,0.702546936,-0.386871184,0.762866593,1.887848521,-0.877791861,-0.593364892
0,0.323102171,-0.501970936,0.625349171,-0.049971348,0.398114739,-0.653777345,2.771330509,1.83052388,0.827244797,-0.661220283
1,0.091550049,-0.223382612,-0.979821516,-0.622217755,-0.67613246,-1.018422811,-0.994082197,-0.324449368,-1.189158015,0.972993924
0,-0.210855581,0.303497243,-0.997810213,-0.155829944,-0.6701665,0.578584694,-0.745747794,-0.81892069,0.581832173,0.457567005
0,0.091704905,-0.337025947,0.708701468,0.484981511,1.044959679,-0.993141545,1.205760348,-0.043586137,0.191165269,-0.067644996
0,0.31991684,-0.405537198,0.687155245,-0.805536444,0.07242208,-0.416186746,-0.207878724,0.39531291,-0.256116111,-0.397399499
1,0.020109549,-0.094800518,-0.37249943,-0.377802038,-0.004302858,-0.376881885,-0.074022503,-0.572822398,1.127371646,0.104853989
1,0.330723272,-0.541563692,-0.126526032,1.154073523,-0.312579582,-0.960170281,-2.082022199,-0.210273313,-0.026969899,0.85356034
0,0.094040608,-0.257643847,0.878593338,0.458085229,-0.319677083,0.188442285,1.379265899,0.287690145,-0.16205681,0.052692933
0,0.089376359,-0.224005712,0.56596295,0.434581075,0.325489827,0.115055722,0.487836994,0.100816344,0.388930585,-0.980449693
0,0.093657771,-0.3353284,0.867274079,1.956760281,0.390586445,0.361963389,-1.072896904,-0.208749943,-0.726013626,-0.156617829
1,-1.784809406,1.282074814,-1.437369509,-0.120657349,0.833387201,3.579932302,-0.06204312,-1.295377401,0.728681368,3.136425374
1,-0.022119929,0.314992758,-0.84507699,-1.7088884,-0.729974243,0.179471832,-0.464014261,-0.643558619,0.743780924,-0.62160496
0,-2.216932091,1.325296526,-1.297183584,-0.400488898,0.409963653,2.697064569,0.289926359,-0.128261109,0.532111515,2.865112335
0,0.085451969,-0.218811242,1.007045706,-0.494294169,-0.219639968,-0.569572486,-0.007448766,-0.253307166,0.704989021,-0.141358743
0,0.326207079,-0.337660125,1.286763219,-0.894572501,-0.282389357,-0.181067936,-0.778244676,-0.135226625,-0.785728079,-0.508004686
0,0.093576411,-0.351101497,0.773429593,2.738556595,2.007273257,0.142496356,2.441722263,0.57776535,0.12727976,-2.347107249
0,0.327810669,-0.510563354,-0.081568801,0.525388628,-0.614481879,-0.877467923,1.619948995,-0.015533268,0.043617472,-0.098189644
