Label,log.sigma.1.mm.3D_glcm_Correlation,wavelet.HHL_firstorder_Skewness,wavelet.HHH_glszm_GrayLevelVariance,wavelet.LLH_firstorder_Kurtosis,log.sigma.1.mm.3D_glcm_Imc1,log.sigma.2.mm.3D_glrlm_LowGrayLevelRunEmphasis,wavelet.LLH_glcm_Correlation,wavelet.HLL_glrlm_LongRunEmphasis,wavelet.LLH_glszm_GrayLevelVariance,original_glszm_LowGrayLevelZoneEmphasis
0,-0.622021587,-1.792538512,0.319382719,-1.233132003,0.800552085,0.035649481,-0.698468042,0.454418263,-0.394496638,-0.22980753
0,-1.176796356,-0.282591971,-1.36774598,0.18330257,1.253578978,2.206233731,-0.519064679,-1.181032058,0.312339931,0.114341999
0,1.479112757,0.124817527,-0.572425271,-0.224179579,-1.078721,-1.064255539,0.480391613,-0.015736871,1.017585848,0.916580935
1,-0.151811214,0.442572446,0.740483734,-0.781765558,0.428353705,-0.523514171,-0.834676906,-0.036428598,0.115017367,0.519292233
1,1.913709209,0.516330534,-0.4784848,0.252757866,-1.796289422,-1.322254121,3.449522392,-0.235554316,1.263929156,-1.876829399
0,-0.307470949,0.527710957,0.505105867,-0.495105483,0.310537147,0.014454311,-1.123098396,-0.795864404,-0.49277929,0.070976604
1,1.561823821,-0.379070467,-1.104225302,1.901626758,-1.345825062,-1.049934921,3.339191136,-0.275917524,3.199307562,-1.287333193
0,-0.228262702,1.635577402,-0.299910986,-0.861286082,-0.192364597,0.384419903,1.224395449,0.711014623,-0.670875228,0.113836742
0,1.184078113,0.217882309,0.59176485,-0.128291218,-1.261814223,-0.788893774,-0.074089043,1.291188313,-0.345272524,1.108930693
0,-0.323348081,-3.279552503,-0.057395814,-0.340823183,0.490707171,-0.105720379,-0.840564703,0.042725006,-0.37228478,0.113836742
0,0.191755914,-2.215710431,-1.092274866,-1.178646002,-0.027278654,-0.13750984,-0.238628508,-0.128660292,-0.81004736,0.543506555
1,0.891968255,0.081703719,1.691415013,-0.164307238,-0.679255262,-1.086071118,-0.289386742,2.270831542,0.629310777,1.08808293
1,0.426067413,-0.608282998,-0.010989968,-0.19419277,-0.14340916,-0.452585541,-0.409521256,0.032539251,-0.146556824,-1.077522598
0,-1.115301344,0.453333838,0.99783349,0.171964079,1.004708229,1.59818978,-0.763323973,-0.95968507,-0.090068969,0.114341999
0,-1.102660823,0.553447609,1.034388609,-0.328827884,1.292101173,0.654072489,-0.414753139,-0.265068711,-0.244215415,0.113836742
1,1.839501927,0.491066861,0.016427854,0.361907231,-2.177374589,-1.116010702,0.17021854,0.901122963,0.355137482,0.967883843
