Label,log.sigma.1.mm.3D_glcm_MCC,wavelet.LHH_glrlm_RunEntropy,log.sigma.1.mm.3D_glcm_Imc1,wavelet.HLH_glcm_Correlation,wavelet.LLH_glszm_GrayLevelVariance,wavelet.HLL_firstorder_90Percentile,log.sigma.2.mm.3D_glcm_Imc1,wavelet.LLH_glcm_Correlation,wavelet.HLL_glszm_ZonePercentage,wavelet.LLH_firstorder_Kurtosis
0,-0.997483877,0.9604801,0.928366791,0.43663266,-0.323301787,0.070511774,0.953708258,-0.374816201,-0.243836115,-0.548155707
1,0.816736226,1.626663813,-0.684219746,0.019994591,0.616675684,-0.275332979,-3.54685968,-0.286987794,-1.357829119,-0.159803497
1,-0.871208623,1.100007332,0.984453949,-0.091428317,-0.110585835,-0.129892178,-0.544331163,-0.164498043,-0.674630919,0.404042579
0,-1.359462336,-0.512847649,1.267561213,-1.213707536,0.314902364,1.863111875,1.151469805,-0.522914536,0.841577652,0.179799507
0,-0.487521525,0.567676272,0.6569544,0.881339472,-0.413233983,1.80672745,0.460527195,-0.584987022,0.478402767,-0.680691959
1,-0.051617962,-0.30512588,-1.062902942,0.143658069,0.312926984,-0.338374387,0.256757643,1.036329306,-0.609422156,-0.344594301
0,1.640030114,-0.133077473,-1.081333867,0.019269211,0.998664959,-0.839301881,0.56055821,0.473299478,-0.604097609,-0.219441259
0,-0.646083384,0.474100974,0.667130117,0.588818748,-0.421492947,-0.053844004,1.731782744,-0.100419146,0.926631659,-0.680210401
0,-0.692698715,0.516081845,0.716849212,-0.007933822,0.301408623,0.395056246,-0.598332627,-0.34365009,0.089865039,0.880722398
1,0.802741466,0.711738538,-0.440650657,-0.416139458,-0.464220162,-0.589990353,0.06606605,0.088011203,-0.009822402,-0.932812162
1,-0.419529305,0.731375271,-0.071670166,0.725847714,-0.640133093,-0.20059739,1.020534405,0.800697995,-0.36942585,-0.235720194
0,-1.05081881,1.244758697,0.841198551,-0.325173738,0.041842808,0.281757659,-0.031027479,0.031032746,-0.291290064,1.54757073
0,-0.539590409,-0.319447187,0.520882563,0.392910046,0.429770375,0.0924439,0.528205933,-1.097527082,0.284513561,-0.461476304
0,-0.862555341,0.107911816,0.829601023,-0.066854029,-0.551015773,-0.221164307,1.533345517,-0.197609178,0.342611502,-1.140689709
1,1.87722513,-0.768790072,-1.531699139,-0.185946033,2.168007376,-1.321979553,-0.992146271,3.39956722,0.737805794,0.114629719
1,1.234259994,-0.076531264,-0.924845903,-0.370710381,0.305023271,-0.661650157,-0.267443317,-0.705540787,-0.657475293,-1.02112165
0,1.832067392,-0.37720435,-1.388066931,-0.40575733,5.255675655,-0.139624553,-0.790638715,3.10319672,0.359905424,-0.669911856
0,-0.788797448,0.580278978,0.972808748,-0.138132171,-0.356683438,-0.266303301,-0.522186234,-0.18094082,-0.202008155,0.171625958
0,-1.396554237,0.425610582,1.297915189,0.360574301,-0.210095842,-0.126781588,-1.238068169,-0.444829065,-0.333410173,-0.333439554
0,-0.862254046,-1.099836612,0.733449496,-0.246633556,-1.174035597,0.575620294,0.503660919,-2.590404036,1.785484832,-1.334371527
0,0.006298417,-0.797520656,-0.028103171,-0.043979567,-0.194408882,-0.009051394,1.234343697,-0.069940085,-0.72958267,0.744946879
0,-0.637776307,0.235129093,0.848820557,0.320223791,-0.379912021,0.224160013,-0.79066002,-0.284742333,0.269033967,-0.88949637
0,-0.011709206,-0.429363212,-0.639234573,0.446338104,-0.066771712,1.132501164,-0.688065281,1.047099337,0.065881797,-0.723847989
0,-0.144281234,-1.307088011,0.161179592,0.048433455,-0.74160534,0.674123976,0.661515681,0.104278976,0.246119581,-0.084766808
0,1.454431989,0.199229527,-1.263349238,-0.222326797,-0.34213006,-0.922428825,-0.580283677,-0.074344636,-0.808009814,-0.123928589
0,-1.006623533,0.309789275,0.889745265,-0.185469357,-0.333564922,2.219282809,-0.289845034,-0.2323222,0.212365938,-0.670476687
0,1.363142046,0.396477974,-0.967069079,-0.44611844,-0.176396416,-1.278456264,0.300615833,-0.251070261,-0.426889775,-0.848288123
0,-0.318171905,0.731141389,0.614563231,0.587319578,-0.152424601,0.259914697,-0.807265835,0.129538635,0.13760395,-0.112360937
1,0.530254414,0.839856103,-0.151528119,0.193993471,-0.146631374,-0.131944108,-0.360778282,-0.405641095,-0.371116647,-0.189571938
0,-0.794148791,1.507234538,0.845756923,0.642214382,-0.647366403,1.481229847,-0.473748095,-0.012995493,0.508971891,-1.637800532
1,-0.195960405,1.337942897,-0.490370477,0.320470241,-0.778096697,-0.898567965,0.269198395,1.351289197,-0.747892125,-0.189001574
0,-0.489889683,0.212700346,0.448783474,-0.218615659,-1.180672245,0.864727984,0.176564814,0.498891003,-0.291031282,-1.474927869
1,1.348607048,-1.106990535,-1.243424194,1.006028301,1.109236647,-1.438405592,-0.092116796,2.541918433,-0.848855394,-0.365111277
