Label,log.sigma.1.mm.3D_glcm_MCC,wavelet.LHH_glrlm_RunEntropy,log.sigma.1.mm.3D_glcm_Imc1,wavelet.HLH_glcm_Correlation,wavelet.LLH_glszm_GrayLevelVariance,wavelet.HLL_firstorder_90Percentile,log.sigma.2.mm.3D_glcm_Imc1,wavelet.LLH_glcm_Correlation,wavelet.HLL_glszm_ZonePercentage,wavelet.LLH_firstorder_Kurtosis
0,-1.186948884,0.087535974,1.025337203,0.82095671,-0.145715206,1.213898115,1.051004933,-0.09796445,1.327503515,0.78505416
0,-0.38121755,0.139247131,0.653755438,0.232005586,-0.158618373,0.13562218,-0.44101141,0.148215866,-0.176813993,-0.575837862
1,0.484956093,0.571594133,-0.353774717,-0.140897014,-1.258443906,-0.042007006,0.061411969,1.194561107,-0.463148921,-1.837902506
1,2.204021062,0.387167546,-2.184167704,-0.436878524,1.435260876,-1.528934029,-0.155415477,2.260422804,-1.048629781,1.219713098
1,0.019804232,-0.304906092,-0.055968885,-0.691936733,-0.107243536,-0.519307057,-0.521832127,0.112209184,-0.931873399,-0.128041579
0,-0.984048977,0.669204553,0.854040297,-0.728880124,0.192951061,0.565232997,-0.064458852,-1.09103446,-0.050380173,0.880082564
0,-1.614273065,-0.453926743,1.472196932,-0.224965709,-0.519781501,1.520989761,0.449098588,-0.700310058,0.787159785,-0.079692801
0,-0.567556373,1.276167442,0.655455963,-0.107081032,-0.074701315,0.342098412,-2.279624755,-0.527786729,-1.065071232,0.014671521
0,1.178683497,-0.562680218,-0.888913707,0.080005418,-0.113963929,-1.121397637,0.720816074,0.768709832,-0.563515299,0.272015002
1,1.577766888,-0.377214588,-1.113719147,0.749663991,1.050233861,-0.287622487,0.382059225,1.72824398,0.869621122,1.039590503
1,2.058620787,-0.11227653,-2.047655216,-0.168750182,0.448533072,-0.65629882,-0.676450461,0.793824333,-0.334655568,0.150919541
1,-0.387840327,0.755790941,0.492011699,0.072384108,-0.212738249,1.834224976,0.10867919,0.535025589,-0.230870348,-0.641755434
0,-1.182962702,-0.012197725,1.136528586,0.458984447,-0.263592138,2.248721063,1.072272075,0.055401853,0.70626377,-0.249098034
1,1.874633933,0.56587993,-1.793336099,0.77267904,1.274045303,-2.152672879,-0.53140621,3.472785995,-0.605138254,0.249469003
1,2.416805373,0.304638238,-2.165416646,0.257335496,1.951873535,-0.494797892,-0.167812359,2.469293003,-0.971217078,0.672829642
1,-0.518821912,1.004339513,0.3941651,0.334117262,0.04790307,0.838069307,0.761339275,-0.899009488,1.374409808,-0.450200743
0,-0.566686317,0.673891301,0.755528719,0.343143737,0.18763029,1.501274613,-0.650731745,-0.445711783,0.233407013,-0.942748421
0,-0.011709206,-0.429363212,-0.639234573,0.446338104,-0.066771712,1.132501164,-0.688065281,1.047099337,0.065881797,-0.723847989
0,-0.319866132,2.476096471,0.378638426,0.337328027,0.279689179,-0.408542395,-0.655208178,0.134310325,-1.289424756,-0.627839688
0,-0.77231647,1.109964923,0.821305337,-0.128961075,-0.064120993,-0.006444098,-1.645473119,-0.63591228,-0.55950862,-1.064654663
0,-0.656878779,-0.805527356,0.818877483,0.391273184,-0.179750774,2.125010479,-1.61182871,-0.171177733,1.128832533,1.171141513
1,-0.159532525,0.342980891,0.477643991,0.383551809,0.264182714,1.191923277,-0.0264745,-0.826038916,0.344252516,0.41929164
1,-0.958764433,-2.729368127,0.818990404,0.506698282,-1.295646021,0.687137516,1.565044521,0.202283579,1.433134821,-1.503074076
0,-0.814430323,-1.603740741,0.574724559,-0.766161676,-1.396910006,-0.815802307,0.982750986,-0.068568837,0.961004207,-0.566186572
1,1.958012507,0.153103023,-1.905182008,0.728627772,2.637198299,-2.864259729,-0.6062304,3.117574788,-0.957554285,-0.274677966
0,-0.252327206,-0.009179741,-0.173299951,-0.355198341,-0.2749294,-0.542331366,0.352542078,-0.173518448,-0.382080005,-1.477544609
0,0.423533262,0.093912212,-0.403033979,-0.545173449,-0.568833531,-0.177113999,-0.390337341,-0.085030775,-0.501124983,-0.992744237
1,0.074239509,0.218660992,-0.059498293,-0.02486438,-0.874360981,-0.196689524,0.086801613,-0.429323184,-0.437990596,0.94149096
1,0.884794981,-0.724252437,-0.805132012,0.257978432,0.68616916,-1.251857931,0.573314685,1.042882602,-0.222427602,1.059848876
0,0.121926399,0.298791787,0.224303261,-0.357089783,-0.002995627,-0.30761832,-0.104257281,-0.731655723,-0.735179271,-0.268085757
0,-0.923555174,-0.511532654,0.731737654,-0.248605151,-1.256009724,-1.681771858,1.195581033,-0.640654899,0.845884785,-0.395164049
0,-0.487521525,0.567676272,0.6569544,0.881339472,-0.413233983,1.80672745,0.460527195,-0.584987022,0.478402767,-0.680691959
0,-0.56331454,-1.524660164,0.832240123,-0.00429396,-1.500328578,1.290611892,1.4095505,-0.509949445,1.92642485,-0.975959382
1,1.921770878,-0.096570882,-1.500736204,-0.12493662,0.665186558,-0.457173071,-0.356571425,2.37123889,-0.151568756,0.068412329
1,1.003415449,0.953790798,-0.813162678,-0.0390683,0.831120764,-0.124505481,-1.621627306,-0.573472931,-0.871770043,0.288000494
0,-0.862254046,-1.099836612,0.733449496,-0.246633556,-1.174035597,0.575620294,0.503660919,-2.590404036,1.785484832,-1.334371527
0,0.036824825,-0.632820889,0.069676721,-0.15730669,-0.278105337,-0.605381315,0.516796306,-0.018514517,-0.477196612,0.541446236
1,-1.032845678,0.442339317,0.99126956,0.674694445,0.216729155,2.341477263,0.64738421,-0.188921509,0.109287929,1.07639434
1,2.239444046,-0.258472473,-1.436732275,0.598094134,3.561593253,-1.631931275,0.527822222,3.350369046,-0.152395979,4.304122552
1,1.87722513,-0.768790072,-1.531699139,-0.185946033,2.168007376,-1.321979553,-0.992146271,3.39956722,0.737805794,0.114629719
0,-1.190239463,-0.015146295,1.0641039,-0.655727955,-0.597038953,0.710319338,0.705726611,-0.632995551,1.009484425,-0.927494106
1,0.073443356,-0.26077472,0.156986263,-0.109041463,-0.244552261,-0.660433967,0.363136507,-0.085442138,0.484500147,0.760423114
1,0.876999332,0.975260647,-0.712606215,0.178507389,0.132277991,-0.45519946,-0.962024683,-0.288681988,-1.049880251,0.748025121
0,-0.719560971,0.235896099,0.61930552,0.142609444,-0.602061778,0.669860766,1.128081855,0.508160589,0.653213993,0.351199596
0,-1.006623533,0.309789275,0.889745265,-0.185469357,-0.333564922,2.219282809,-0.289845034,-0.2323222,0.212365938,-0.670476687
0,-0.69027161,0.424504565,0.887200882,-0.114130998,0.7592151,0.135269912,0.460969874,-0.985723345,0.31970876,0.211472713
0,-1.039851578,-2.18073643,0.802442702,-0.217175979,-1.216026137,-0.38047883,1.45375113,-0.197535677,1.428406147,-0.622983831
