Label,log.sigma.1.mm.3D_glcm_MCC,wavelet.LHH_glrlm_RunEntropy,log.sigma.1.mm.3D_glcm_Imc1,wavelet.HLH_glcm_Correlation,wavelet.LLH_glszm_GrayLevelVariance,wavelet.HLL_firstorder_90Percentile,log.sigma.2.mm.3D_glcm_Imc1,wavelet.LLH_glcm_Correlation,wavelet.HLL_glszm_ZonePercentage,wavelet.LLH_firstorder_Kurtosis
0,-0.783553582,1.188083501,0.825574306,0.99331167,-0.319574006,1.438555857,0.270110922,-0.6083167,0.426220932,-1.205001383
0,-1.358481546,-0.430080942,1.255440638,-0.669098289,0.328442547,1.887848521,1.249392013,-0.593364892,0.702546936,0.17618109
0,1.502678063,-0.180946576,-0.997810213,0.006697809,0.91155739,-0.81892069,0.520319548,0.457567005,-0.6701665,-0.208608683
1,-0.253130003,0.378461245,0.40080277,-0.291269636,0.10543088,-0.070384984,-0.912167585,-0.940737891,-0.631627782,-0.803189604
1,2.04377608,0.549576895,-1.903130862,0.445701335,1.40391762,-2.194899867,-0.576619347,3.774590068,-0.510166056,0.246665732
0,-0.28978721,-0.403644478,0.350132148,-0.781906411,-0.405262243,0.834105163,-0.352348933,-0.992252628,0.998351907,-0.476162025
1,1.52098774,-1.262320157,-1.256970745,0.499510999,2.813702715,-0.44343764,-0.159398724,3.042393634,-0.397594197,1.890735018
0,-0.223015581,0.206202071,-0.13781357,0.277016706,-0.560536105,0.58604141,0.25873411,1.130269274,-0.312149204,-0.837784305
0,1.324637726,0.176007724,-1.175458343,-0.297470725,-0.276657709,-0.900976258,-0.532860614,-0.043775028,-0.89864267,-0.113913967
0,-0.550342193,-0.801185622,0.524944013,0.096507874,-0.300208483,1.245833888,0.077238983,-0.736795536,-0.317099145,-0.323800274
0,0.080575405,-0.711740061,0.022362806,0.472762136,-0.681874046,-0.577863277,0.974425826,-0.192545863,0.330370389,-1.151193639
1,0.712909731,1.709315196,-0.61022437,0.007611059,0.573037767,-0.262220466,-3.271486387,-0.238439684,-1.514695099,-0.149481649
1,0.438093816,0.864149746,-0.090314042,0.226675043,-0.103406401,-0.120679653,-0.330221905,-0.347061114,-0.40911985,-0.178995158
0,-1.058940853,0.226255515,0.997699663,-0.412099171,-0.126355311,1.516609543,0.474030411,-0.862204551,0.4655558,0.164674559
0,-1.30268315,0.537395715,1.30250499,-0.404526881,-0.188550547,2.939827847,-0.007033645,-0.351791599,0.2674973,-0.311954296
1,1.869875457,0.318004716,-2.063790438,0.108196642,0.333998366,-0.816224723,-0.868140088,0.177119351,-1.284036433,0.370182354
1,-0.906299895,1.143596462,1.018411494,-0.132669994,-0.071462776,-0.118654169,-0.499670673,-0.126306166,-0.749196495,0.409535744
1,0.118343063,0.951115894,0.036711715,0.23493178,0.12327838,-0.215987917,-1.290430416,-0.483237063,-0.712009019,0.259535099
1,0.674291747,1.421381288,-0.455216182,0.040006913,0.440513981,0.127142391,-3.211600561,-0.153312506,-0.855549453,0.323963941
1,-0.075924236,1.208317949,0.264225576,0.277868762,-0.105748619,-0.743597021,-1.112081311,-0.596088844,-1.160837291,-0.495440245
0,-0.408357896,-1.831318306,0.190805639,0.100988471,-1.332401491,0.402282864,1.805875934,0.218769313,0.618612575,-0.377533044
0,-0.117330853,-2.774766425,-0.977095954,-1.006238567,0.141871046,-2.266705484,0.873537424,-1.690250541,2.912980164,0.763179395
0,-0.241522155,-0.058103785,0.162934707,-0.054613888,-0.781106626,-1.424114416,1.185988854,-0.45513676,0.683019576,-1.062393661
1,2.131490039,0.17470919,-2.018545809,0.420978888,2.932404154,-2.918352503,-0.657807634,3.386286054,-0.805579619,-0.283613853
1,-0.568262811,1.040832935,0.442285921,0.403090409,0.068990393,0.836831805,0.705672695,-0.798716316,1.546678723,-0.437391981
0,-0.540508739,0.190477677,0.495593792,-0.292798415,-1.01977539,0.863146893,0.165832014,0.480994824,-0.319387127,-1.453343515
1,0.805178597,1.655790038,-0.702613616,0.000551706,0.709278367,-0.319956984,-1.486826142,-0.501033312,-1.449812699,0.5340807
0,-0.794990692,-0.672996753,0.416639713,-0.864128318,-0.387268884,0.513676427,0.955475694,-0.542220445,0.864839381,0.646464046
0,1.768823722,-0.182015886,-1.501081832,0.626905103,1.261773514,-1.097284469,0.375460303,0.660421973,-0.635516068,-0.850527111
1,0.910976914,-0.299534418,-0.587728935,0.19793159,-0.01430408,-1.151288718,0.278463994,-0.001826131,-0.73031036,1.080478452
1,-0.432516839,0.56227855,0.509328377,-0.144666754,0.382658989,-0.728407515,-0.462577639,-0.062024832,-0.702793642,0.454091205
