Label,log.sigma.2.mm.3D_glcm_ClusterShade,log.sigma.3.mm.3D_glrlm_LongRunHighGrayLevelEmphasis,log.sigma.1.mm.3D_glcm_Imc1,log.sigma.3.mm.3D_firstorder_Skewness,wavelet.HLL_glszm_ZonePercentage,wavelet.LHL_glcm_Correlation,wavelet.HLL_firstorder_Skewness,wavelet.HLL_firstorder_90Percentile,wavelet.HLH_glcm_InverseVariance,wavelet.LLH_glcm_Correlation
0,0.09321196,-0.273775063,0.825574306,0.304132277,0.426220932,-0.147888124,1.847783418,1.438555857,0.286784852,-0.6083167
0,0.331092638,-0.481250979,1.255440638,0.526010515,0.702546936,-0.386871184,0.762866593,1.887848521,-0.877791861,-0.593364892
0,-0.210855581,0.303497243,-0.997810213,-0.155829944,-0.6701665,0.578584694,-0.745747794,-0.81892069,0.581832173,0.457567005
1,0.318516763,-0.333577217,0.40080277,-0.250177083,-0.631627782,-0.879756799,-0.324266794,-0.070384984,0.291224288,-0.940737891
1,-2.063844324,1.494854787,-1.903130862,-0.324201394,-0.510166056,3.818633903,-1.647277722,-2.194899867,1.032145838,3.774590068
0,0.091066781,-0.282193217,0.350132148,0.963500061,0.998351907,-0.147918824,-0.954765732,0.834105163,0.635729938,-0.992252628
1,-1.138378976,0.700447563,-1.256970745,-0.248341118,-0.397594197,2.638577018,-0.699315906,-0.44343764,-0.374090157,3.042393634
0,0.089447809,-0.285760829,-0.13781357,-0.510904846,-0.312149204,-0.390580533,0.272950385,0.58604141,-0.746175082,1.130269274
0,-0.004808768,0.031113827,-1.175458343,-0.890657748,-0.89864267,-0.095005617,-0.769093602,-0.900976258,0.617780026,-0.043775028
0,0.089433103,-0.189523221,0.524944013,-0.026020392,-0.317099145,0.202490807,-0.073168152,1.245833888,-0.843530747,-0.736795536
0,0.088067734,-0.311458903,0.022362806,0.669093721,0.330370389,0.757121826,0.326465375,-0.577863277,0.638231948,-0.192545863
1,0.059397036,1.673863845,-0.61022437,0.005891367,-1.514695099,-0.363124779,-0.437539639,-0.262220466,0.748711442,-0.238439684
1,0.056160598,-0.153061413,-0.090314042,-0.745410578,-0.40911985,-0.724230901,-0.347983928,-0.120679653,-0.602138848,-0.347061114
0,0.330797013,-0.491578989,0.997699663,0.097318228,0.4655558,0.043399914,0.136074206,1.516609543,-1.39148652,-0.862204551
0,0.094106791,-0.246073257,1.30250499,0.060150082,0.2674973,-0.52920146,1.15363959,2.939827847,-0.107670313,-0.351791599
1,-0.100361017,0.718819197,-2.063790438,0.108668245,-1.284036433,0.454311116,-0.356254503,-0.816224723,0.66827022,0.177119351
1,0.086692274,-0.182590883,1.018411494,-0.659041463,-0.749196495,0.250136524,-0.03589653,-0.118654169,0.701728549,-0.126306166
1,0.079880287,-0.004183557,0.036711715,-0.149694558,-0.712009019,-0.580926823,-0.491012985,-0.215987917,0.22927852,-0.483237063
1,0.28996072,0.891307066,-0.455216182,-0.522450217,-0.855549453,-0.650983178,-0.102124611,0.127142391,0.285914775,-0.153312506
1,0.073875595,-0.147477548,0.264225576,-0.805099833,-1.160837291,-0.014548255,-0.932095429,-0.743597021,0.879822991,-0.596088844
0,0.331740351,-0.541240534,0.190805639,1.124220527,0.618612575,0.825431199,0.289375534,0.402282864,-0.998610017,0.218769313
0,0.093200969,-0.374352115,-0.977095954,2.448085247,2.912980164,-1.624813966,-1.298742169,-2.266705484,0.246574656,-1.690250541
0,0.328708721,-0.503060673,0.162934707,0.876292559,0.683019576,-0.893947757,-1.338476648,-1.424114416,-0.822586011,-0.45513676
1,-2.063191833,3.608275661,-2.018545809,-0.078460342,-0.805579619,5.157072262,-0.357536125,-2.918352503,0.814947128,3.386286054
1,0.092771872,-0.289509376,0.442285921,2.599722019,1.546678723,-0.039914519,-0.962956527,0.836831805,-1.018847991,-0.798716316
0,0.091003969,-0.30935912,0.495593792,0.562071042,-0.319387127,0.038161531,1.978511059,0.863146893,-0.221688604,0.480994824
1,0.07117748,0.248844021,-0.702613616,0.172407522,-1.449812699,-0.598836216,-0.678946696,-0.319956984,1.087532414,-0.501033312
0,0.331931393,-0.541318885,0.416639713,1.100767077,0.864839381,0.095187049,-1.034256373,0.513676427,-0.06407971,-0.542220445
0,-0.109229865,-0.008723631,-1.501081832,-0.694884142,-0.635516068,0.144353036,-0.165154922,-1.097284469,1.309948252,0.660421973
1,-0.002363542,0.103150755,-0.587728935,-1.121684215,-0.73031036,0.110981817,-0.24696022,-1.151288718,0.766772439,-0.001826131
1,0.085398405,-0.223557956,0.509328377,-0.295019528,-0.702793642,0.25537966,-1.394445035,-0.728407515,0.090002866,-0.062024832
0,0.080089084,0.155250906,0.899038525,-2.034010676,-0.611103173,-0.224958177,-0.824128751,0.055007448,0.564949886,-0.299831835
0,0.331037797,-0.525074557,0.830412927,0.531961575,0.598616438,-1.182591719,-0.192186528,-0.186981546,-0.126850569,-0.993964365
0,0.081537006,-0.200692552,0.696950128,-0.319145095,-0.138652488,-0.819259345,2.471093966,1.543473198,0.064803885,-0.557919584
0,0.088041698,-0.191205332,0.460679838,0.133358451,0.289244494,-0.716361138,0.09949224,0.541976928,0.665148001,-0.181924305
0,0.330193927,-0.524988662,0.4993417,0.931685035,0.637308141,-0.567318224,0.372921433,1.952429722,-1.188825132,-1.345205265
1,-0.716708176,0.59324528,-1.25905409,-0.686345401,-0.035728756,1.497312216,0.410848079,-1.191579903,0.523599476,1.760938236
0,0.318667267,-0.396932762,-0.167631129,-0.135907758,-0.199747407,-0.708574264,-0.561439051,-0.567837197,0.344714102,-1.042634839
1,0.330723272,-0.541563692,-0.126526032,1.154073523,-0.312579582,-0.960170281,-2.082022199,-0.210273313,-0.026969899,0.85356034
0,0.086349309,-0.250957165,0.923491898,0.238683634,0.36492476,0.028203217,-0.703591192,0.143090396,-0.526090316,-0.878098711
1,-0.124607896,1.549811644,-1.437063595,0.84716566,-0.810385782,2.82523943,0.41910005,0.290785298,0.736033743,2.477752973
0,0.328582511,-0.511259937,0.706698487,0.120463173,1.096297814,0.24178303,-0.016385209,0.27124257,-1.115254987,-0.801212348
0,0.092366246,-0.290909778,0.662024365,0.716520954,0.73860518,-0.984391439,-1.687971454,0.670791209,-1.079870376,0.489480687
