V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
0.0033083885,0.6897211700,-0.8815942779,-1.1462274050,2.1730615579,0.8503196647,-1.4292374995,0.5096027592,1.3902499072,1.1810149717
0.0020435053,0.4650014003,-0.3238806848,0.2764851999,1.6300945475,1.5480180849,-1.1378319910,0.4316785249,-1.2542635668,0.5693438237
-0.0084186466,0.6271308253,-0.7011815826,-0.9861021389,0.6987114464,0.6352975760,1.0486677647,0.8084923318,-0.1507961281,1.0485097994
-0.0185932453,0.8359415493,-0.6611861330,0.7909738509,0.2175401472,0.3271065229,-0.7529610867,0.0270328226,-0.9150781461,0.4193900115
-0.0053724099,-3.1977840614,1.1196857996,-1.9021676033,1.7682356894,5.8599380093,-0.8197218585,0.5663952727,1.5354477672,-0.8978464268
-0.0036300953,0.8994570224,-1.0138505705,-1.0170509554,1.2081820670,0.5092968100,-0.1820772766,0.3529538726,0.7259809320,0.1858110167
0.1430789511,-1.5447801791,1.5325689250,0.0485513773,0.0046642383,-1.3318699547,0.0154575177,0.3703840892,0.3099045786,0.1030642865
0.5969411399,0.7324230586,-0.8972346183,-1.2622234118,0.5894864453,1.3476165274,0.0754580470,-0.3041619171,0.9665351729,1.6536619237
-1.7398921175,-1.5028212612,1.8083975085,1.8306010762,-0.3453496215,0.0929727561,-1.2352014277,2.7438034607,-2.1737926539,-0.1558764230
-0.0073640775,0.6001162347,-0.7012494226,0.6972788568,0.8875160555,0.1211522770,0.8008779979,0.3551493384,-0.7238395314,0.6628001658
-0.0189517801,0.0670221400,0.0257802924,-0.2061845950,0.3428937218,-0.4653114953,-1.0926237044,-0.2592991208,0.8188566529,0.4772693451
-0.0073833842,0.8388198863,-0.7530491236,0.2261392083,0.1729009552,-0.4472022225,1.4117274007,-0.3750131549,0.7693441556,0.1568725769
-0.0254322354,0.5869194271,-0.5051513679,-0.0640585498,-0.6468705872,-0.2494401168,-0.0701092517,-0.1438198605,0.2020314296,-1.2848651636
-0.0204288778,0.9164597201,-0.7542741193,-0.2817203826,-0.4981584638,-0.1916726178,-0.0405795496,-0.6607330079,1.1000645794,-0.5999196220
-0.0071087655,0.9122454013,-0.8345366157,0.2715825015,-0.3816593090,0.7129212571,-0.0933198238,0.1841909378,-0.1204509433,-0.1293371020
-0.2050696391,-1.1867506317,1.3651466830,-0.2677304689,-0.8851781822,-0.7942618973,-0.8199914899,-0.1147240698,0.5866063559,-0.6601534776
-0.0013656235,0.9854557763,-0.8848134454,-0.4750832119,1.2049897563,0.4449943592,-1.3066986604,-0.6322408639,0.4896621171,1.0262620543
0.2542427458,0.3891222636,-0.4808995501,-0.2228949396,0.9003549000,0.4414537699,-0.8516500412,-0.1051981478,-0.0303528204,0.7015900342
0.2542373765,0.8953551026,-0.6849727497,-0.4526219910,0.6896366211,0.1303034240,-0.3615240445,0.1623726596,0.7669159211,0.2372840154
0.2549201690,0.4861271708,-0.8679984089,-0.3899620703,1.1449512292,1.0173898748,-0.9768199623,0.0895774219,0.0521643059,0.9087795723
0.2552381887,0.1823918132,-0.5144400324,-1.0326133142,3.8068388511,1.9490891926,-0.3640404449,0.3255334299,0.8622262057,1.6447050232
0.2520778978,0.9859910763,-0.9028965334,-0.1610545646,0.0910380799,1.2892935564,-0.6104904693,-0.4155412391,-0.4130232327,0.9241637535
0.2541625823,1.0791034475,-1.1590439168,-0.6526004989,1.3824747790,1.0368090037,-0.5673850352,-0.1750965301,0.6622762257,0.3792233437
0.5975843948,0.3328551475,-0.4815734667,0.0293074153,2.5105304919,1.2892221933,-1.0083813029,-0.1642795469,0.1230499402,0.8204020855
0.5829497067,0.3716641576,-0.5684538235,0.8024344849,0.1922012982,-0.6305732326,-0.3120614135,-0.8581595087,-0.4496723210,-0.0392105665
0.5903051773,0.0623716147,0.0243606752,0.2156388177,0.3928465435,-0.1775058346,0.5507583632,-0.4754483751,-0.5402484453,1.4617442961
-0.0879891294,-0.0616856780,0.3444652237,0.3273267914,-0.5438683704,-0.4863346467,0.1095148603,-0.1365763403,-0.5653644715,-0.0327144455
-0.0022787000,-0.3484204322,0.2474346303,-0.2455072592,0.7114176853,-0.1790988500,-0.6400566436,-0.1439476477,0.1477524976,-0.5568749752
-0.0594560682,-0.0903386237,0.3601405863,1.0566510205,-0.1111571373,-0.3052009634,0.4712456208,-0.5647947295,-1.2039669368,0.1963062458
-0.0287019171,0.0388880904,0.1754766057,0.2215758023,0.0442371734,-0.6299412798,-0.9921961905,-0.9486428548,0.2081786016,-0.1078545341
-0.0313993972,0.8123766046,-0.6392179921,0.2417156998,-2.0015777499,-0.5390814425,-0.8763104594,-0.2642398998,0.4726881554,-1.9431793825
-0.0756757491,-0.1634674454,0.4295206988,0.5003448213,-0.9411826188,-0.6066187323,0.2306377962,-0.6355418932,-0.4404908849,-1.8502930418
-0.0171855377,0.1530848362,-0.1453301355,-0.6517392430,0.1293300349,0.2539317231,1.0923890576,-0.4869193185,0.5220506967,0.6273104748
-0.0060187700,0.5886140776,-0.6708331905,-0.5300073726,0.0431312059,0.6159740267,2.0422817716,-0.6748746970,0.0813029691,1.0574996253
-0.0004763541,0.7842484054,-0.5412360960,-1.3810869519,1.4488756077,1.9247752372,0.4421201760,-0.9071549024,1.5861822950,1.4028527215
0.5226909945,-0.1803946474,0.5096020907,-0.1576952273,-0.7557440711,-0.4464752486,-0.3790630643,-0.9516140311,0.0873193694,-0.3429790158
0.5734120766,-0.0938363259,0.0787556248,-0.8572492882,-0.4939881586,-0.5129726324,0.0168628395,-0.2105222253,3.0008752778,0.1210597013
0.4580560824,-0.8514138053,1.0063430987,0.4862818957,-1.1236708789,-0.3438052844,-0.5520224810,1.0112743752,-0.1712837309,0.0648217061
-0.0062847724,0.5839735301,-0.6888589519,-0.5175983970,0.6841129476,0.6587337968,-1.7603042653,-1.1379994814,0.4122321541,1.1110336511
-0.0114335503,0.6228920043,-0.5912000360,0.1902220254,0.5062529925,0.4974148377,0.0744730754,0.6860046139,0.1047877093,0.5786827152
-0.0150779704,-0.0324481499,0.1398512645,-0.7072776559,0.6378037625,0.2964408224,0.3011239009,0.8656840257,0.1414479504,1.0326331809
0.5667285448,0.1097774448,0.0780034129,-0.2518249065,-0.6723412918,0.4043235903,-0.5867152008,-0.3503019212,-0.0719443709,0.4075562368
0.4489436116,-0.4523278103,0.7670499991,-0.4629879133,-0.3968015215,-0.0872154418,-0.0987108637,-0.5519745288,-0.4265919794,0.0995616306
-0.3957717010,-2.0745502590,2.2920302635,1.8595617530,-1.3707281377,-1.0431965300,-0.4453312719,2.1203976909,-1.8685833382,-0.1429171715
0.1529041585,-1.4782147374,2.1291890800,4.7669596131,0.7992888326,-0.8025836237,0.4059148984,3.1321993422,-2.7405494401,0.8596158081
0.0014282204,-0.1704826763,-0.1649911509,-0.9292417142,3.2902188342,2.0693011888,-1.0902029725,-1.1425249816,0.6398863023,1.0894706726
0.2416240215,-1.1946139246,1.3881119868,-0.0912162611,0.2375748348,-0.3382619767,0.2494681722,0.9384822987,-0.2764904678,0.2896102333
-0.0122849202,0.4518735161,-0.4815488287,-0.2932765180,-0.0409237557,-0.2781639603,-0.1078319903,0.2275579502,0.6674963520,0.0250304601
-0.0045547481,0.7415814526,-0.7112421822,-0.3142827322,0.2814459063,0.3815045629,1.8579301599,-0.1755675955,-0.0260273738,0.2416389536
-0.1300545602,-0.7023064178,0.8784921985,0.2975860659,-0.3662807864,-1.3042295502,0.4628492665,0.1845381678,-0.8280699314,0.5676659025
0.5925859651,0.0864776284,0.1546788081,0.3414179410,0.1172842646,-0.6790831326,-0.5869911205,-0.4288608242,0.5552240638,-2.8471898056
0.4868853765,-0.1841930199,0.4823864358,-0.1583830703,-1.7021309025,-0.6069007560,0.4217652311,-0.2309508754,0.3277969496,-1.4032801429
0.4078989356,-1.1090628342,1.1261224047,0.0560281829,-0.5951999333,-1.3091368613,-0.8424364939,-0.1668013455,-0.1871005589,-0.5355178296
-0.1191731426,-0.6268035189,0.7712508582,0.1947441523,-0.9025771636,0.0173255500,0.3744359711,0.2692405328,-0.3263484381,-0.5065525774
