batch,Label,log.sigma.1.mm.3D_glcm_MCC,log.sigma.3.mm.3D_glszm_SizeZoneNonUniformityNormalized,wavelet.HHL_gldm_SmallDependenceHighGrayLevelEmphasis,wavelet.LLH_glcm_MCC,wavelet.HHH_glszm_GrayLevelVariance,log.sigma.2.mm.3D_glszm_SmallAreaLowGrayLevelEmphasis,wavelet.LLH_glszm_SmallAreaEmphasis,wavelet.HHL_glszm_GrayLevelNonUniformityNormalized,wavelet.HHH_glszm_SmallAreaEmphasis,original_shape_Flatness
1,0,-0.917078161,0.491986779,0.316666412,0.253324554,-1.981863509,-0.130452325,2.610885153,-1.087078911,-1.071863796,0.625730887
1,0,-0.337316163,-0.17859904,-0.475760262,1.455574922,-0.924383879,-0.300439651,1.286524264,0.848537032,-2.911687299,0.837798403
1,0,-0.729533109,-0.414503134,-0.003646259,1.337847763,-0.696335065,-0.060929893,-0.746370865,0.34698068,0.998543232,0.382419574
1,0,-0.687956497,-0.552316283,-0.818023355,1.307546641,-0.262229415,-0.576469797,-1.481770486,1.729372262,0.089486245,1.518246456
1,0,1.163319647,3.729450753,-0.191538022,2.651686475,-3.305211642,2.618868105,0.873165659,2.397395639,0.923638872,-2.399618681
1,0,-1.054563016,-0.587167879,-1.115888769,0.198902982,0.825025794,-0.10993739,0.460736148,0.294708708,0.627135288,-0.260965982
2,0,1.464113604,1.075641667,-1.464429282,-1.335131519,-0.689495545,-0.490852043,2.167554279,2.376730857,0.257506981,-0.824810043
1,1,-0.951659268,0.506375507,-1.495287859,0.395494628,-0.06715492,0.252957014,-1.232246061,0.94281542,-0.64791856,0.418906833
1,1,1.860936134,1.375235959,-0.92366742,-0.214387044,-1.313396211,-0.35836977,-0.079477702,1.354160789,-1.082907667,1.620991122
1,0,-0.729603631,-0.711637854,-0.5354062,0.0635011,-0.657151558,-0.484050599,-0.352084263,0.470212881,-0.863678081,0.222198117
1,0,0.026168159,-0.590430633,-1.395745738,-0.85453625,-0.7294304,-0.420693099,-0.185085669,0.90689987,-1.779665493,-0.021236047
1,0,-0.783451159,0.13226856,1.883507017,-0.099513017,-0.612066924,0.212126124,-2.004001094,-1.022748668,-0.52933288,-0.016042608
1,0,-0.525753121,-0.452273547,0.888236949,0.105983389,0.969679514,-0.277760617,0.158955445,-0.899069614,1.346472534,0.324762139
1,0,-0.784724583,-0.427293113,0.164680067,-1.232985893,-0.276888311,-0.254259267,-1.490110412,-0.593004241,0.069240491,0.416234341
1,0,-0.868160141,-0.187007962,0.379590399,-0.378085094,0.652121449,0.173890741,0.248073314,-0.138074158,0.545400241,-0.262564283
1,0,1.418484474,-0.500835507,-1.112586069,-0.997016727,0.597192691,-0.546039276,1.755346785,0.817592099,0.262380982,1.471271927
1,0,-0.920424593,-0.599059392,-1.087950685,-0.285279118,-0.574806149,3.974032447,0.452915197,-0.493313191,-0.368726519,1.460029287
2,0,-0.457496247,0.658546027,-0.36434219,-0.248554859,-0.44680243,-0.010365259,1.299233804,-0.904210602,0.282505694,-0.696319044
2,0,-0.652259202,0.542434061,0.578048649,-1.368775241,1.218990357,0.829959397,0.129574781,-0.739794487,0.083450667,-0.079196406
2,0,-0.82693485,0.087112524,-1.930607092,0.215719242,-0.92153587,4.646911569,-1.978222015,1.055503336,0.36895148,0.468312419
2,0,-0.489506543,0.070519171,0.915117878,0.795643554,-0.151333069,-0.356938127,0.357570584,0.56742009,-2.102819266,0.336606245
2,0,-0.860240849,-0.477465846,0.252942091,-0.718979921,-0.8101763,-0.322931313,-0.034315997,-0.739086206,0.331425775,-2.050272886
2,0,-1.104702256,-0.993529409,1.474369214,-0.271939575,-1.011625827,0.022932533,0.059988823,-0.271867501,0.300073544,-1.568500703
1,1,-0.519565551,0.491986779,-0.087234783,0.912130218,-0.539250766,-0.144674651,0.20047012,2.307606709,-1.13751067,0.65920764
1,1,-0.609880597,-0.998274419,-0.155661844,0.577786446,-0.758447528,-0.362075219,-2.250273973,0.634967714,0.242101535,1.153280465
1,1,0.00636997,-0.851450656,-0.649817897,0.491080531,-1.55158567,-0.599122614,-0.672470293,0.685581358,0.050576951,1.401054612
1,0,0.35745184,-0.943811584,-0.276425576,-0.581365434,1.175241185,-0.184103507,0.142093099,0.340362004,1.292300135,-0.263718868
1,0,0.256585282,-0.675987188,-0.972804182,-0.424713225,-0.201661379,-0.249592186,0.89159791,0.991300391,0.950315209,0.519801378
1,0,0.373746906,-0.444469745,1.702548485,-0.15487258,1.495478871,-0.42743822,0.395774062,-1.229650964,-0.545967091,-0.523234965
1,0,0.1817825,-0.527569592,1.030569907,-0.871480598,0.85696704,-0.405684843,1.643246996,-0.719526114,-0.341496408,0.303395706
1,0,-0.665119877,-0.306440845,0.451100736,-0.660692316,2.168657689,-0.399071514,0.854964266,-1.515751927,0.683664358,-0.090782064
1,0,0.445869861,-0.496927459,0.575046064,-0.77623179,0.543222237,-0.535543502,1.132295531,-0.525246719,0.57972274,0.391314946
