batch,Label,log.sigma.1.mm.3D_glcm_MCC,wavelet.LHH_glrlm_RunEntropy,log.sigma.1.mm.3D_glcm_Imc1,wavelet.HLH_glcm_Correlation,wavelet.LLH_glszm_GrayLevelVariance,wavelet.HLL_firstorder_90Percentile,log.sigma.2.mm.3D_glcm_Imc1,wavelet.LLH_glcm_Correlation,wavelet.HLL_glszm_ZonePercentage,wavelet.LLH_firstorder_Kurtosis
1,0,-0.923555174,-0.511532654,0.731737654,-0.248605151,-1.256009724,-1.681771858,1.195581033,-0.640654899,0.845884785,-0.395164049
1,0,-0.333262039,-0.211149106,0.492812952,-1.447792648,0.224004678,0.478111593,0.605605029,-0.370336827,1.547534174,-0.671919134
1,0,-0.732603444,-1.238723119,0.665190864,0.124783393,-1.089435183,1.908965548,1.067775639,-1.33537724,0.629645056,-0.925906532
1,0,-0.69027161,0.424504565,0.887200882,-0.114130998,0.7592151,0.135269912,0.460969874,-0.985723345,0.31970876,0.211472713
1,0,1.194632199,-6.44092508,-3.401503637,7.250952504,-2.042396502,-0.192354231,-0.809545981,-0.594328619,5.883871901,-3.32873263
1,0,-1.063537384,-1.097386143,0.95473128,0.679021267,-1.121630507,-0.370059361,0.235675608,0.266102277,0.502930765,-1.712415591
2,0,1.426381249,-0.213655282,-1.435168011,0.155030357,0.100489205,-1.648832444,0.055650817,0.810245158,-1.32594625,1.02057654
1,1,-0.958764433,-2.729368127,0.818990404,0.506698282,-1.295646021,0.687137516,1.565044521,0.202283579,1.433134821,-1.503074076
1,1,1.904920601,-0.832691233,-1.55754765,-0.105738866,1.921746425,-0.587699993,-0.180311964,1.191106413,0.171386177,0.177017369
1,0,-0.732675247,-0.396822959,0.636468633,0.639038221,0.661746405,-0.259812154,0.695746601,-0.528559996,0.112588223,1.046247753
1,0,0.036824825,-0.632820889,0.069676721,-0.15730669,-0.278105337,-0.605381315,0.516796306,-0.018514517,-0.477196612,0.541446236
1,0,-0.787500892,0.503218737,0.890261163,0.463345435,0.171630929,-0.20650878,0.207763575,-0.612983513,-0.458984789,0.714347516
1,0,-0.525121877,0.744380012,0.622437632,-0.041489345,-0.130254961,0.160958289,-1.18283769,-0.998997804,-0.260102784,-0.09573299
1,0,-0.788797448,0.580278978,0.972808748,-0.138132171,-0.356683438,-0.266303301,-0.522186234,-0.18094082,-0.202008155,0.171625958
1,0,-0.873748579,0.874612931,0.968328035,-0.02896382,0.218904517,0.707464675,-0.068294636,-0.327882902,0.707708309,-1.158937253
1,0,1.454431989,0.199229527,-1.263349238,-0.222326797,-0.34213006,-0.922428825,-0.580283677,-0.074344636,-0.808009814,-0.123928589
1,0,-0.926962393,0.185035348,1.046166166,-1.187562454,-0.557834233,-0.760875495,1.046316991,-0.141717377,0.438264178,1.40598474
2,0,-0.46097049,-0.923255741,0.364430765,-0.658301066,-0.161899473,-0.188052682,0.668459024,-0.336219014,0.45633911,-0.425779428
2,0,-0.652261247,0.570995723,0.835507267,0.497628373,-0.383960977,0.397455033,0.193073395,0.077644013,0.143616341,0.1535176
2,0,-0.823822808,-0.780328779,0.454698976,-1.561218445,-0.323391896,0.511478411,0.880592671,-0.476128822,1.035185755,0.644643701
2,0,-0.492410112,-1.607918844,0.172057118,0.095248975,-0.944599111,0.093560544,1.634079314,-0.815596769,1.971593491,-0.81826959
2,0,-0.856535034,0.341205413,0.919848847,-0.615950862,-0.102122591,0.242418095,0.896343961,-0.544501964,1.308463524,-0.502093944
2,0,-1.096638227,-0.53198161,1.006494846,0.00646977,-0.577266588,-0.244829198,0.338399784,-0.54895767,1.05470302,-0.168059694
1,1,-0.518821912,1.004339513,0.3941651,0.334117262,0.04790307,0.838069307,0.761339275,-0.899009488,1.374409808,-0.450200743
1,1,-0.610777494,0.31714981,0.435427296,0.474110981,0.852168945,-0.915218053,-0.067784086,-0.063612621,-0.556257152,3.316410588
1,1,0.01666701,-0.934688252,0.106583827,0.965565839,0.241739237,-1.102234511,1.37993395,-0.661120115,-0.100624096,-0.305948015
1,0,0.374126137,0.041723079,-0.067166945,-0.364153443,0.276893988,-0.53385627,0.024900947,0.190042738,-0.498338814,0.090468089
1,0,0.27142738,-0.150711495,-0.372026709,0.02917665,-0.319011778,-0.717002978,-0.480668322,-0.278069225,-0.189363184,-1.850800442
1,0,0.390717196,-0.097244761,-0.097631094,-0.044129234,1.0355928,-0.688211082,0.245798586,-0.034893313,-0.316179396,0.028375857
1,0,0.195265837,0.864704548,0.039764268,-0.072169871,0.166883726,-1.29919744,-0.047574025,-0.276526321,-0.642758672,1.637691687
1,0,-0.667020172,0.798979741,0.862146355,0.219948148,0.187834787,0.04603689,-1.817802399,-0.354049896,-0.551384308,-0.030761462
1,0,0.464150235,0.787932464,-0.175382518,-0.281483892,0.456880568,0.313303128,-1.728210611,-0.239192793,-0.619304052,-0.051467469
1,0,-0.144281234,-1.307088011,0.161179592,0.048433455,-0.74160534,0.674123976,0.661515681,0.104278976,0.246119581,-0.084766808
1,0,-0.700482212,0.320905198,0.624239404,-0.428813185,-0.614970543,1.158063593,1.076446608,-0.882298192,0.61021208,-1.497310458
1,0,-0.56331454,-1.524660164,0.832240123,-0.00429396,-1.500328578,1.290611892,1.4095505,-0.509949445,1.92642485,-0.975959382
