batch,Label,log.sigma.1.mm.3D_glcm_MCC,log.sigma.3.mm.3D_glszm_SizeZoneNonUniformityNormalized,wavelet.HHL_gldm_SmallDependenceHighGrayLevelEmphasis,wavelet.LLH_glcm_MCC,wavelet.HHH_glszm_GrayLevelVariance,log.sigma.2.mm.3D_glszm_SmallAreaLowGrayLevelEmphasis,wavelet.LLH_glszm_SmallAreaEmphasis,wavelet.HHL_glszm_GrayLevelNonUniformityNormalized,wavelet.HHH_glszm_SmallAreaEmphasis,original_shape_Flatness
1,0,-0.956514829,0.485842053,0.313701891,0.269039693,-2.003957967,-0.104238748,2.607242228,-1.100467688,-1.043546454,0.625730887
1,0,-0.390259168,-0.171308585,-0.494751769,1.488150988,-0.907473033,-0.265992701,1.282423678,0.832533775,-2.917656611,0.837798403
1,0,-0.773338892,-0.402486343,-0.013089167,1.368772767,-0.671012602,-0.03808365,-0.751173959,0.331654887,1.065444345,0.382419574
1,0,-0.732730863,-0.537538407,-0.843937201,1.338046688,-0.220894897,-0.528653266,-1.486827713,1.712179241,0.139446319,1.518246456
1,0,1.075417308,3.658443464,-0.204781078,2.701037374,-3.376118005,2.511917745,0.868922229,2.379300304,0.989144079,-2.399618681
1,0,-1.090796789,-0.571691751,-1.147827002,0.213854887,0.906463893,-0.084717458,0.456350194,0.279453519,0.687114902,-0.260965982
2,0,1.572215871,1.102648072,-1.424616529,-1.328390903,-0.707115235,-0.538877624,2.18065868,2.405450526,0.208887462,-0.824810043
1,1,-0.990290323,0.499942503,-1.534899513,0.413203627,-0.018625048,0.260600076,-1.23721706,0.926684819,-0.611700643,0.418906833
1,1,1.756781879,1.351395343,-0.951717938,-0.205231313,-1.310834147,-0.321116962,-0.084050338,1.337474575,-1.054796137,1.620991122
1,0,-0.773407771,-0.693667971,-0.555604058,0.076554065,-0.630383806,-0.440710412,-0.356751104,0.454720635,-0.831481024,0.222198117
1,0,-0.035242704,-0.574889136,-1.433344133,-0.854358274,-0.705328664,-0.380421647,-0.1896948,0.890817781,-1.764538629,-0.021236047
1,0,-0.826000848,0.133330785,1.912232157,-0.088746238,-0.583636218,0.221746839,-2.009238789,-1.036224337,-0.49090502,-0.016042608
1,0,-0.574306234,-0.439500026,0.896832555,0.119632146,1.056453188,-0.244412131,0.154465205,-0.912712339,1.419857601,0.324762139
1,0,-0.827244606,-0.415020075,0.158641592,-1.238115473,-0.236094489,-0.222049074,-1.495170521,-0.607060376,0.118823268,0.416234341
1,0,-0.908736421,-0.179549035,0.377898528,-0.371225142,0.727181943,0.185363395,0.24361387,-0.152744777,0.603856654,-0.262564283
1,0,1.324637726,-0.487089047,-1.144457504,-0.998836964,0.67022713,-0.499696654,1.751408211,0.80163064,0.315563094,1.471271927
1,0,-0.959783302,-0.583345018,-1.119323865,-0.277117611,-0.545001073,3.801444405,0.448526541,-0.507503981,-0.327305624,1.460029287
2,0,-0.41327136,0.674006091,-0.347323834,-0.25589007,-0.474337326,-0.029756981,1.309124032,-0.894653642,0.233445169,-0.696319044
2,0,-0.614508547,0.554679831,0.575540159,-1.361598794,1.123399641,0.860645511,0.135135402,-0.729277236,0.037901698,-0.079196406
2,0,-0.794990692,0.086753757,-1.881134884,0.202369691,-0.929675572,4.905062985,-1.98046361,1.076506227,0.318365954,0.468312419
2,0,-0.446345729,0.069701055,0.905625132,0.774781497,-0.19093934,-0.396983317,0.363975153,0.585572275,-2.109799964,0.336606245
2,0,-0.829403836,-0.493453676,0.257169984,-0.72022111,-0.822865588,-0.36094992,-0.029362034,-0.728564818,0.281502244,-2.050272886
2,0,-1.08199153,-1.02380328,1.45328848,-0.278971853,-1.016084912,0.005525141,0.065291864,-0.258617269,0.250703102,-1.568500703
1,1,-0.568262811,0.485842053,-0.098368286,0.937084759,-0.508134224,-0.117772213,0.195994226,2.289632654,-1.110416713,0.65920764
1,1,-0.656473847,-0.974561775,-0.168179298,0.598051992,-0.735416093,-0.324642936,-2.255596772,0.61925293,0.294905723,1.153280465
1,1,-0.054579667,-0.830679625,-0.672329754,0.510130072,-1.557809261,-0.550208889,-0.67724785,0.669798209,0.099811917,1.401054612
1,0,0.288323278,-0.921190103,-0.2913855,-0.577356381,1.269597034,-0.155291323,0.137597032,0.325045151,1.364675654,-0.263718868
1,0,0.189806542,-0.658731566,-1.001848501,-0.418507208,-0.158092799,-0.217608044,0.88736085,0.9751043,1.016317552,0.519801378
1,0,0.304238728,-0.431852573,1.727613703,-0.14488219,1.601646738,-0.386840066,0.391365659,-1.242847166,-0.507849223,-0.523234965
1,0,0.116746392,-0.513287515,1.042044225,-0.871540257,0.939583297,-0.366140319,1.639269683,-0.733411353,-0.299568057,0.303395706
1,0,-0.710426253,-0.296589081,0.450855176,-0.657795781,2.299655863,-0.359847308,0.850714546,-1.528561685,0.744697439,-0.090782064
1,0,0.374681482,-0.483259297,0.577307322,-0.774955635,0.614265967,-0.489709245,1.128141649,-0.539394375,0.638818782,0.391314946
1,0,-0.208973898,-0.885035103,-1.269926568,-0.181280557,-0.25710345,-0.424967312,-0.293299441,1.521981628,0.320681235,0.046414418
1,0,-0.742525677,0.162463951,1.566250231,0.637971284,0.316737767,0.04553659,0.801893325,-1.058577421,-0.384106869,-0.11457448
1,0,-0.610943644,-0.101676724,1.433698867,-0.011258945,1.239703323,-0.064463463,0.211090589,-0.133497821,-0.428664893,0.349894583
1,1,0.438093816,-0.075637117,-0.396985692,-0.87935303,0.024891422,-0.540281499,0.912448479,-0.71694484,1.848692049,0.389062239
1,1,0.000648408,-0.771732748,0.664841934,-1.567769173,-0.525249322,-0.139942011,1.481430387,-1.097594068,-0.367149816,-1.118514678
1,1,0.942443022,-0.16286211,-0.922558065,-0.569895825,0.094149099,-0.478867919,0.523296503,0.149461569,-0.561744859,-1.047282815
1,0,-0.760827525,-0.571691751,0.347104766,-0.538852237,-0.798176445,-0.280113884,-0.060900752,-0.735361978,-1.901377724,0.387339095
1,0,-0.661672843,-0.580035214,0.354836428,0.780038578,-0.700382814,-0.174174161,-0.304371448,-1.017464983,-2.688580854,0.917142742
1,0,0.080575405,-0.628093554,-0.405920541,-0.449968717,-1.132779549,-0.408624411,2.077991732,0.336851244,-2.226648327,0.042842434
