batch,Label,log.sigma.1.mm.3D_glcm_MCC,wavelet.LHH_glrlm_RunEntropy,log.sigma.1.mm.3D_glcm_Imc1,wavelet.HLH_glcm_Correlation,wavelet.LLH_glszm_GrayLevelVariance,wavelet.HLL_firstorder_90Percentile,log.sigma.2.mm.3D_glcm_Imc1,wavelet.LLH_glcm_Correlation,wavelet.HLL_glszm_ZonePercentage,wavelet.LLH_firstorder_Kurtosis
1,0,-0.956514829,-0.58747188,0.771758825,-0.330555081,-1.086539608,-1.650532546,1.106547532,-0.562205028,0.954485758,-0.382826612
1,0,-0.390259168,-0.264808804,0.538566835,-1.840327966,0.225051974,0.481513383,0.561904991,-0.314741743,1.740658245,-0.657211613
1,0,-0.773338892,-1.368598259,0.706808745,0.139539796,-0.938920932,1.893925867,0.988562641,-1.198190154,0.712197048,-0.909023905
1,0,-0.732730863,0.417991472,0.923491898,-0.16125259,0.699356469,0.143090396,0.42838353,-0.878098711,0.36492476,0.218615014
1,0,1.075417308,-6.956648946,-3.262310283,9.111361904,-1.783437068,-0.180311184,-0.744506516,-0.519795531,6.599366123,-3.291272602
1,0,-1.090796789,-1.216778281,0.989401985,0.83732335,-0.96745249,-0.355725973,0.220400764,0.267887863,0.570218318,-1.688797432
2,0,1.572215871,-0.158366236,-1.533533519,0.099064619,0.088023734,-1.68265784,0.060369231,0.863996953,-1.114385045,1.026795368
1,1,-0.990290323,-2.96980481,0.856918049,0.620369312,-1.121665369,0.687845289,1.447621628,0.209464892,1.612477953,-1.481248683
1,1,1.756781879,-0.932450878,-1.462597816,-0.150686925,1.729593943,-0.570561557,-0.163622529,1.114684974,0.198734729,0.18445474
1,0,-0.773407771,-0.464254136,0.67877567,0.786984835,0.612979526,-0.24689968,0.64512013,-0.459587498,0.132853772,1.04624118
1,0,-0.035242704,-0.717756097,0.125583252,-0.215610636,-0.219918878,-0.588014994,0.479920287,0.00733478,-0.527978572,0.545762699
1,0,-0.826000848,0.502543895,0.926478752,0.565788229,0.178638258,-0.194283303,0.194633478,-0.536873196,-0.50757289,0.717183281
1,0,-0.574306234,0.761592167,0.665081326,-0.069797002,-0.088893593,0.16844769,-1.089114675,-0.890250844,-0.284732875,-0.085959831
1,0,-0.827244606,0.585319715,1.007045706,-0.191469984,-0.28955494,-0.253307166,-0.47922735,-0.141358743,-0.219639968,0.1791095
1,0,-0.908736421,0.901484497,1.002672502,-0.05402741,0.220532201,0.707910463,-0.060212557,-0.275877202,0.799664069,-1.14005899
1,0,1.324637726,0.176007724,-1.175458343,-0.297470725,-0.276657709,-0.900976258,-0.532860614,-0.043775028,-0.89864267,-0.113913967
1,0,-0.959783302,0.160760759,1.078643001,-1.512699057,-0.467815158,-0.741505097,0.968752865,-0.105451554,0.497761772,1.402897439
2,0,-0.41327136,-0.802797382,0.323491016,-0.35739314,-0.206189434,-0.197519421,0.725299231,-0.389276116,0.379619827,-0.436483229
2,0,-0.614508547,0.554222856,0.809599716,0.291337434,-0.455184242,0.397751697,0.20948015,0.063143941,0.117479234,0.14959168
2,0,-0.794990692,-0.672996753,0.416639713,-0.864128318,-0.387268884,0.513676427,0.955475694,-0.542220445,0.864839381,0.646464046
2,0,-0.446345729,-1.424581405,0.124978666,0.065514119,-1.083820823,0.088789735,1.773049394,-0.913314498,1.649785356,-0.833565598
2,0,-0.829403836,0.345536361,0.896632662,-0.333625364,-0.139162359,0.240129501,0.972566694,-0.616963485,1.09391511,-0.513690639
2,0,-1.08199153,-0.44745765,0.986043562,0.015689465,-0.671935425,-0.255242692,0.36716713,-0.621834302,0.881199774,-0.175748127
1,1,-0.568262811,1.040832935,0.442285921,0.403090409,0.068990393,0.836831805,0.705672695,-0.798716316,1.546678723,-0.437391981
1,1,-0.656473847,0.302674186,0.48255808,0.579342014,0.781732343,-0.893858421,-0.059741238,-0.03395038,-0.616563017,3.296962719
1,1,-0.054579667,-1.042013044,0.161604816,1.19808197,0.240768374,-1.078464529,1.276734862,-0.580939956,-0.106042837,-0.294374609
1,0,0.288323278,0.00681898,-0.007977014,-0.476029978,0.271922581,-0.517411795,0.025821923,0.198258987,-0.551667637,0.098646653
1,0,0.189806542,-0.199888519,-0.305522032,0.019171239,-0.256170244,-0.698198029,-0.440899654,-0.23027516,-0.20547174,-1.825997178
1,0,0.304238728,-0.142456142,-0.037710212,-0.073120613,0.944282913,-0.669777215,0.229745897,-0.007659225,-0.347564669,0.037086169
1,0,0.116746392,0.890841207,0.096388513,-0.108423678,0.174431277,-1.272888914,-0.041084108,-0.228862705,-0.713484807,1.632620087
1,0,-0.710426253,0.820241573,0.899038525,0.259351892,0.192998147,0.055007448,-1.675289011,-0.299831835,-0.611103173,-0.021544708
1,0,0.374681482,0.808374917,-0.113596083,-0.371949301,0.431427031,0.318829042,-1.592581411,-0.194685643,-0.687204763,-0.042073392
1,0,-0.208973898,-1.442033793,0.214890621,0.04341549,-0.630673463,0.674999473,0.613519497,0.119746359,0.282470776,-0.075087561
1,0,-0.742525677,0.306708112,0.666839867,-0.557436369,-0.518449465,1.152701865,0.996567337,-0.783417923,0.690423109,-1.475534423
1,0,-0.610943644,-1.675743332,0.869849857,-0.022968142,-1.303055441,1.283541823,1.304075691,-0.442550427,2.165191394,-0.958648111
1,1,0.438093816,0.864149746,-0.090314042,0.226675043,-0.103406401,-0.120679653,-0.330221905,-0.347061114,-0.40911985,-0.178995158
1,1,0.000648408,0.196880426,-0.000492362,-0.048866229,-0.748321765,-0.184590602,0.082966173,-0.368740936,-0.484049665,0.942381507
1,1,0.942443022,-0.983049089,-0.786631473,-0.206002938,0.490272864,-0.904443204,0.032890892,0.639830415,-0.293430465,1.961010945
1,0,-0.760827525,0.215393865,0.662024365,0.161982732,-0.507009693,0.670791209,1.044234957,0.489480687,0.73860518,0.357145299
1,0,-0.661672843,-0.07937272,0.702410115,-0.715247008,0.145526388,1.053259857,0.570220501,-0.753259642,0.556829611,1.710687332
1,0,0.080575405,-0.711740061,0.022362806,0.472762136,-0.681874046,-0.577863277,0.974425826,-0.192545863,0.330370389,-1.151193639
