Label,wavelet.LHL_gldm_DependenceEntropy,log.sigma.1.mm.3D_firstorder_Minimum,wavelet.HHL_glszm_GrayLevelNonUniformityNormalized,wavelet.HHL_ngtdm_Contrast,wavelet.HHL_glrlm_ShortRunLowGrayLevelEmphasis,wavelet.HLH_glrlm_LowGrayLevelRunEmphasis,wavelet.HLH_gldm_LargeDependenceHighGrayLevelEmphasis,wavelet.HHH_gldm_DependenceVariance,wavelet.LHH_gldm_LowGrayLevelEmphasis,wavelet.LHL_ngtdm_Contrast
0,-0.276983413,0.799673043,-0.356911853,-0.163984269,-0.592017741,0.077367712,0.179231598,2.333079195,0.175526194,-0.521747246
1,1.024869003,-0.269180519,0.781254378,-0.86055202,-1.093542149,0.117133755,0.525721971,-2.43104964,0.214430249,-0.611217314
1,1.491491454,-0.086351578,-0.376830109,-0.803567209,-1.055690902,0.289560732,-0.246756273,-0.195115055,0.18751764,0.130416178
0,-0.61129267,0.650310378,-1.026962109,-0.793256983,-0.698205398,0.328066742,-0.334782266,0.463700433,0.364645394,-0.604989602
0,-0.935554628,0.818664183,1.285368185,1.838546995,1.421734723,0.342686881,0.13528526,0.929826494,0.477746459,3.163449443
1,0.773000207,0.213502119,0.506805798,-0.343741115,-0.50562726,-0.065809257,0.109498483,0.065479195,0.029194486,-0.170459637
0,0.699296234,-0.998803186,1.003509743,-0.279821489,-0.375099404,0.132181631,0.87587399,-0.90408093,0.00782858,-0.720996443
0,0.419529173,-0.83123009,-2.313496732,0.63310271,-1.043359479,-0.006739663,-1.037573458,-0.275184321,-0.069483911,2.872442308
0,-0.323511934,0.666155558,1.285368185,1.858038735,1.260299686,0.134548148,-0.321407056,0.615557012,0.325786274,0.194249218
1,0.799982734,-2.020487034,-2.047991068,-0.094863683,-1.144433109,0.213592979,-0.099988907,-0.158919782,-7.060387201,0.506296465
1,-0.341861267,0.853382196,0.117524604,-0.300240906,1.242521114,-0.03314341,-0.120169923,1.223731194,0.12357594,-0.690040009
0,0.085683032,0.785222382,-0.466397192,-0.761219696,-0.590684387,0.133441918,0.063079227,1.088702673,0.302791873,-0.672068547
0,0.093617124,-0.109315132,0.262745526,0.599353325,-0.134182053,0.361953447,-0.818804292,0.895314829,0.171568222,-0.297314005
0,-0.440775189,0.676689382,-0.466397192,-0.683342991,-0.594883004,0.18899142,-0.96628836,0.063644058,0.283964136,-0.157627256
1,1.746895568,-3.951130739,-0.590351455,-0.419152419,-1.046671853,-0.037925694,0.858305015,1.03779757,0.14000658,-0.063919531
1,1.482601224,-1.553193045,-1.787349065,-0.070982796,-1.181591285,0.159731292,-0.241450671,-0.390922217,0.019985399,0.34926321
0,1.461060186,-3.530113741,-0.234758791,0.282887945,-0.174980258,0.033579465,1.53146709,0.15754791,-0.785654158,0.595269143
0,0.43202616,0.542940411,-0.274797851,-0.65219351,-0.617900998,0.11458465,-0.133968779,0.1042255,-0.111418425,-0.608310964
0,-0.165290947,0.909023153,1.285368185,1.901587098,1.243142657,0.106226264,-0.088788906,-0.370052812,0.285944237,-0.651765632
0,-0.049714448,0.114698354,-1.103402777,-0.434517856,-0.504230808,0.502094445,-1.456548417,-1.073216513,-0.304535571,0.824052528
0,-1.209163189,0.492834942,1.285368185,1.855820425,1.451298524,-6.27E-05,0.564083684,1.062577897,0.27274357,-0.049176524
0,-0.299244264,0.741225039,1.285368185,1.854524208,1.338046565,0.180953564,-0.043182087,0.702935701,0.056972545,-0.781530488
0,-0.236822424,0.844377193,-0.466397192,-0.290416998,1.369090482,0.334840713,0.384455001,-0.02606747,0.135269455,-0.05947611
0,-0.383218038,-0.066923916,0.21788616,-0.237410748,-0.367253638,-0.149736802,-0.430492938,0.14611814,0.646517408,-0.476116666
0,0.171404015,-0.094375209,0.247285002,-0.630289688,-0.58202676,0.132477153,-0.058510866,-0.390318861,0.564162382,-0.813380482
0,-0.605244916,0.986680413,1.285368185,1.916246783,1.380551225,0.508834204,0.002081688,0.855447562,0.245123694,3.137687678
0,0.525366523,-0.829308424,-0.494038452,-0.742472898,-1.034618854,0.145122516,0.002066967,0.273678763,0.320373744,0.317390276
0,-0.209361748,0.655899348,-0.356911853,-0.754673447,-0.714508741,0.208251449,-0.030041902,0.360901857,0.05161618,-0.436783847
1,0.796141965,-0.166478032,0.549626728,-0.39528975,-0.451128758,0.217448517,-0.339407884,0.195706832,0.269425424,0.726256749
0,-0.501518713,0.807857901,-0.186114729,-0.273315531,-0.689353496,-0.021985134,-0.253104505,0.511344345,0.075055917,-0.583102629
1,1.359357531,0.069503723,-0.816750264,-0.714286721,-0.540620937,0.026987392,0.947059463,2.6922433,-0.076535955,-0.11885557
0,-0.111310862,0.149630574,-0.816750264,-0.576539257,-0.582433728,0.416224266,-0.395935963,0.106188362,0.102190855,0.149059826
1,0.472536048,-0.961523379,-1.342279876,-0.810790663,-0.695247592,-0.109983922,0.817744486,-0.133751793,-0.341619227,-0.651633234
0,0.313695704,0.471714369,0.701110902,-0.513099841,-0.55933197,0.06452366,0.104050216,-0.320738942,0.237375854,-0.862930137
0,0.054373845,-0.68182359,0.212487657,-0.610520319,-0.549663886,0.043107691,-0.129290857,-0.172402991,0.017429537,-0.674012805
1,0.418826648,-1.744343278,-0.144644368,-0.551686234,-0.478655879,0.193109963,0.228749881,0.533536095,-0.030485576,-0.548612472
0,-0.70999718,0.768761484,1.285368185,1.750876948,1.309275198,0.182313263,-0.416459734,2.323809978,0.24919876,0.137497058
0,-0.268009133,0.528421719,-0.922478119,-0.82900658,-0.719529917,0.037963006,-0.145020542,0.340483992,0.075379069,-0.668641374
1,1.573878123,-0.303772023,-1.203982607,-0.673631488,-0.980192423,0.157983419,0.097434176,-0.535377288,0.19743986,0.373392662
0,-0.052334132,-0.067836184,0.105607831,-0.670800641,-0.554028098,0.340884558,-0.470682601,0.456787653,0.474984248,0.179789972
0,-0.647215583,0.705686827,1.285368185,1.931661057,1.442084119,0.146430883,-0.662818953,-0.251924328,0.18297898,-0.048099117
1,0.902633093,-1.260051848,0.052644399,-0.747187043,-0.608317636,0.113044147,0.321736708,-0.339412313,-0.169394763,-0.422368475
0,-0.542201957,0.871677528,1.285368185,1.887453339,1.311423633,0.297709619,0.041495107,0.405016119,0.170618493,3.128705101
1,0.999854674,-0.334833056,-2.012147794,0.193394602,-0.765478413,0.559641556,-0.042553347,-0.04190805,0.120513941,0.78539161
1,0.824526811,-0.693534865,0.757221635,-0.400329312,-0.514610088,0.069471425,0.280471374,-0.916680169,0.049909223,-0.557070252
0,-0.451840489,0.702015668,-0.186114729,-0.273997821,1.270227763,0.389193523,-0.001967325,0.687066716,0.162781948,-0.596168835
1,-0.292340287,0.494003594,-0.321715958,-0.824087732,-0.768469651,0.124616877,0.446989447,-1.365671697,0.186428649,-0.700992896
